medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
26545010	Senile dementia	E00-1	E00..11	15662003	26545010		32	master only (1)
68243014	Confusion	2841-1	2841.11	40917007	68243014		27	master only (1)
294704013	Acute confusional state NOS	E030z	E030z00	2776000	483651010		32	master only (1)
295713019	[X]Delirium not superimposed on dementia, so described	Eu040	Eu04000	2776000	5694012		32	master only (1)
295718011	[X]Delirium, unspecified	Eu04z	Eu04z00	2776000	5694012		32	master only (1)
299325013	[X]Other Alzheimer's disease	Fyu30	Fyu3000	26929004	45046017		32	master only (1)
317080013	[D]Confusion	R009	R009.00	40917007	492834012		32	master only (1)
346929012	Alcoholic dementia NOS	E012-1	E012.11	281004	1225776018		32	master only (1)
369704019	Short-term memory loss	1B1A1	1B1A100	247592009	369704019		27	master only (1)
401831017	[X]Other delirium	Eu04y	Eu04y00	2776000	5694012		32	master only (1)
483651010	Acute confusional state	E030	E030.00	2776000	483651010		32	master only (1)
1222481019	[D]Memory deficit	R00z0-1	R00z011	386807006	1491799016		32	master only (1)
1235534016	Binswanger's encephalopathy	F21y2-1	F21y211	90099008	1235534016		32	master only (1)
1480927011	Memory impairment	1S23	1S23.00	386807006	1480927011		27	master only (1)
148381000006115	Senile/presenile dementia	E00-2	E00..12	52448006	87274019		32	master only (1)
292111000006117	[D] Senile confusion	R009-1	R009.11	40917007	492834012		32	master only (1)
359081000006118	[X] Presenile dementia NOS	Eu02z-1	Eu02z11	12348006	21256010		32	master only (1)
359101000006114	[X] Primary degenerative dementia NOS	Eu02z-3	Eu02z13	279982005	417465012		32	master only (1)
359141000006111	[X] Senile dementia NOS	Eu02z-4	Eu02z14	15662003	26545010		32	master only (1)
359151000006113	[X] Senile dementia, depressed or paranoid type	Eu02z-6	Eu02z16	191457008	294644014		32	master only (1)
362201000006116	[X]Acute / subacute brain syndrome	Eu04-1	Eu04.11	2776000	483659012		32	master only (1)
362231000006112	[X]Acute / subacute organic reaction	Eu04-4	Eu04.14	2776000	483655018		32	master only (1)
362941000006113	[X]Alcoholic dementia NOS	Eu107-1	Eu10711	281004	1225776018		32	master only (1)
363021000006113	[X]Alzheimer's dementia unspec	Eu00z-1	Eu00z11	26929004	45046017		32	master only (1)
