MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
632091000006116	Duodenal ulcer - (DU)	J12	J12..00	51868009	1231048015		32
302535019	Unspecified duodenal ulcer with perforation	J12y2	J12y200	88968005	147516013		32
396346019	Peptic ulcer - (PU) site unspecified	J13	J13..00	13200003	22592012		32
221001000000111	Gastric ulcer - (GU)	J11	J11..00	397825006	1777426014		32
397833011	H/O: peptic ulcer	14C1	14C1.00	266998003	397833011		32
302534015	Unspecified duodenal ulcer with haemorrhage	J12y1	J12y100	27281001	483490017		32
252563014	Peptic ulcer symptoms	1956	1956.00	162033007	252563014		27
269374017	Closure of perforated duodenal ulcer	76270	7627000	173889005	269374017		32
498970016	Ulcerative oesophagitis	J1016	J101600	439955006	2792529018		32
131281018	Acute peptic ulcer with perforation	J1302	J130200	79118000	131281018		32
269371013	Operations on duodenal ulcer	7627	7627.00	173887007	269371013		32
206556016	Chronic duodenal ulcer	J121	J121.00	128286008	206556016		32
33419017	Acute gastric ulcer with perforation	J1102	J110200	19850005	33419017		32
302542019	Duodenal ulcer NOS	J12z	J12z.00	51868009	1231048015		32
302615014	Gastrojejunal ulcer NOS	J14z	J14z.00	16121001	27283019		32
474430017	Acute duodenal ulcer with haemorrhage	J1201	J120100	12847006	474430017		32
302502012	Acute duodenal ulcer	J120	J120.00	196652006	302502012		32
302675019	Healed gastric ulcer leaving a scar	J17y8	J17y800	196775009	302675019		32
101926016	Acute duodenal ulcer with perforation	J1202	J120200	61347001	101926016		32
158231014	Chronic gastric ulcer	J111	J111.00	95530000	158231014		32
302576011	Peptic ulcer NOS	J13z	J13z.00	13200003	22592012		32
269310018	Closure of perforated gastric ulcer	761J0	761J000	173842008	269310018		32
86362013	Duodenal ulcer disease	J122	J122.00	51868009	86362013		32
221011000000113	Gastrojejunal ulcer (GJU)	J14	J14..00	16121001	27283019		32
269309011	Operations on gastric ulcer	761J	761J.00	173841001	269309011		32
498969017	Peptic ulcer of oesophagus	J1020	J102000	6129004	498969017		32
158227015	Acute gastric ulcer	J110	J110.00	95529005	158227015		32
302471016	Acute gastric ulcer unspecified	J110y	J110y00	95529005	158227015		32
81301000006118	Unspec duodenal ulcer; unspec haemorrhage and/or perforation	J12yy	J12yy00	51868009	86362013		32
302530012	Recurrent duodenal ulcer	J124	J124.00	196671008	302530012		32
396345015	Gastric ulcer NOS	J11z	J11z.00	397825006	1777426014		32
508664015	Acute gastric ulcer with haemorrhage	J1101	J110100	89748001	508664015		32
302546016	Acute peptic ulcer	J130	J130.00	196682000	302546016		32
302514016	Chronic duodenal ulcer without mention of complication	J1210	J121000	128286008	206556016		32
269315011	Operation on gastric ulcer NOS	761Jz	761Jz00	173841001	269307013		32
302489015	Unspecified gastric ulcer with perforation	J11y2	J11y200	9829001	17164015		32
118251000006114	Suture of duodenal ulcer not elsewhere classified	76271	7627100	307260009	450478013		32
6875014	Chronic peptic ulcer with perforation	J1312	J131200	3483000	6875014		32
83140013	Chronic duodenal ulcer with perforation	J1212	J121200	49916007	83140013		32
206557013	Chronic peptic ulcer	J131	J131.00	128287004	206557013		32
454252012	[V] Personal history of gastric ulcer	ZV12C	ZV12C00	275548000	411542014		32
302525013	Chronic duodenal ulcer with obstruction	J1214	J121400	196666001	302525013		32
302495019	Unspecified gastric ulcer NOS	J11yz	J11yz00	397825006	1777426014		32
302483019	Chronic gastric ulcer NOS	J111z	J111z00	95530000	158231014		32
302472011	Acute gastric ulcer NOS	J110z	J110z00	95529005	158227015		32
302504013	Acute duodenal ulcer without mention of complication	J1200	J120000	196652006	302502012		32
470365013	Acute peptic ulcer with haemorrhage	J1301	J130100	12274003	470365013		32
303358012	Primary ulcer of intestine	J57y8	J57y800	197252006	303358012		32
361430016	Acute peptic ulcer with haemorrhage and perforation	J1303	J130300	111353003	361430016		32
459010010	Endoscopic injection haemostasis of duodenal ulcer	761D5	761D500	314627002	459010010		32
507303017	Acute duodenal ulcer with haemorrhage AND perforation	J1203	J120300	86895006	507303017		32
302473018	Chronic gastric ulcer without mention of complication	J1110	J111000	95530000	158231014		32
508524014	Chronic duodenal ulcer with haemorrhage	J1211	J121100	89469000	508524014		32
302555018	Acute peptic ulcer NOS	J130z	J130z00	196682000	302546016		32
302565012	Unspecified peptic ulcer	J13y	J13y.00	13200003	22592012		32
302527017	Chronic duodenal ulcer NOS	J121z	J121z00	128286008	206556016		32
302526014	Chronic duodenal ulcer unspecified	J121y	J121y00	128286008	206556016		32
