concept_id,concept_name,codelist,to_remove
44808238,Chronic obstructive pulmonary disease care pathway,Both,FALSE
44808261,Seen in chronic obstructive pulmonary disease clinic,Both,FALSE
44808266,Chronic obstructive pulmonary disease rescue pack declined,Both,FALSE
44808267,Chronic obstructive pulmonary disease written self management plan declined,Both,FALSE
44808268,Chronic obstructive pulmonary disease self management plan not appropriate,Both,FALSE
44809514,On chronic obstructive pulmonary disease supportive care pathway,Both,FALSE
44810352,Shared care chronic obstructive pulmonary disease monitoring,Both,FALSE
44811197,Chronic obstructive pulmonary disease management plan declined,Both,FALSE
45766865,Change in chronic obstructive pulmonary disease management plan,Both,FALSE
45766866,Step up change in chronic obstructive pulmonary disease management plan,Both,FALSE
45766868,Step down change in chronic obstructive pulmonary disease management plan,Both,FALSE
45769389,Pulmonary emphysema co-occurrent with fibrosis of lung,Both,FALSE
46269701,Chronic obstructive pulmonary disease with acute bronchitis,Both,FALSE
46270376,Acute exacerbation of chronic obstructive bronchitis,Both,FALSE
46274062,Asthma-chronic obstructive pulmonary disease overlap syndrome,Both,FALSE
46284163,Chronic obstructive pulmonary disease resolved,Both,FALSE
