concept_id,concept_name,domain_id,vocabulary_id,standard_concept,ancestor_concept_id
1145908,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG [Qternmet],Drug,RxNorm,S,44785829
1145909,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1145910,dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1145911,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG [Qternmet],Drug,RxNorm,S,44785829
1145912,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1145913,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1145914,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG [Qternmet],Drug,RxNorm,S,44785829
1145915,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1145916,dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1146738,24 HR dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1146739,24 HR dapagliflozin 10 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1146740,24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1146741,24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1146742,24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1146743,24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1146744,24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet,Drug,RxNorm,S,44785829
1146745,24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Qternmet],Drug,RxNorm,S,44785829
1396414,dapagliflozin 5 MG / saxagliptin 5 MG Oral Tablet,Drug,RxNorm,S,44785829
1396415,dapagliflozin 5 MG / saxagliptin 5 MG [Qtern],Drug,RxNorm,S,44785829
1396416,dapagliflozin 5 MG / saxagliptin 5 MG Oral Tablet [Qtern],Drug,RxNorm,S,44785829
1592316,dapagliflozin / saxagliptin Oral Tablet,Drug,RxNorm,S,44785829
1592317,dapagliflozin 10 MG / saxagliptin 5 MG Oral Tablet,Drug,RxNorm,S,44785829
1592319,dapagliflozin 10 MG / saxagliptin 5 MG [Qtern],Drug,RxNorm,S,44785829
1592320,dapagliflozin / saxagliptin Oral Tablet [Qtern],Drug,RxNorm,S,44785829
1592323,dapagliflozin 10 MG / saxagliptin 5 MG Oral Tablet [Qtern],Drug,RxNorm,S,44785829
1592652,empagliflozin / metformin Extended Release Oral Tablet,Drug,RxNorm,S,45774751
1592653,24 HR empagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,45774751
1592654,empagliflozin 10 MG / metformin hydrochloride 1000 MG [Synjardy],Drug,RxNorm,S,45774751
1592655,empagliflozin / metformin Extended Release Oral Tablet [Synjardy],Drug,RxNorm,S,45774751
1592656,24 HR empagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy],Drug,RxNorm,S,45774751
1592657,empagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,45774751
1592793,empagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy],Drug,RxNorm,S,45774751
1592794,24 HR empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,45774751
1592795,24 HR empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy],Drug,RxNorm,S,45774751
1592796,empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,45774751
1592797,empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy],Drug,RxNorm,S,45774751
1592798,24 HR empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,45774751
1592799,empagliflozin 25 MG / metformin hydrochloride 1000 MG [Synjardy],Drug,RxNorm,S,45774751
1592800,24 HR empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy],Drug,RxNorm,S,45774751
1592801,empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,45774751
1592802,empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy],Drug,RxNorm,S,45774751
1592803,24 HR empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,45774751
1592804,24 HR empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy],Drug,RxNorm,S,45774751
1592805,empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,45774751
1592806,empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy],Drug,RxNorm,S,45774751
1718898,canagliflozin / metformin Extended Release Oral Tablet,Drug,RxNorm,S,43526465
1718899,24 HR canagliflozin 150 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,43526465
1718900,canagliflozin / metformin Extended Release Oral Tablet [Invokamet],Drug,RxNorm,S,43526465
1718901,24 HR canagliflozin 150 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet],Drug,RxNorm,S,43526465
1718902,canagliflozin 150 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,43526465
1718903,canagliflozin 150 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet],Drug,RxNorm,S,43526465
1718904,24 HR canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet,Drug,RxNorm,S,43526465
1718905,24 HR canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet],Drug,RxNorm,S,43526465
1718906,canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet,Drug,RxNorm,S,43526465
1718907,canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet],Drug,RxNorm,S,43526465
1718908,24 HR canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,43526465
1718909,24 HR canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet],Drug,RxNorm,S,43526465
1718910,canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet,Drug,RxNorm,S,43526465
1718911,canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet],Drug,RxNorm,S,43526465
1718912,24 HR canagliflozin 50 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet,Drug,RxNorm,S,43526465
1718913,24 HR canagliflozin 50 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet],Drug,RxNorm,S,43526465
1718914,canagliflozin 50 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet,Drug,RxNorm,S,43526465
1718915,canagliflozin 50 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet],Drug,RxNorm,S,43526465
1830930,ertugliflozin 2.5 MG / metformin 1000 MG Oral Tablet Box of 196,Drug,RxNorm Extension,S,793293
1830931,ertugliflozin 2.5 MG / metformin 1000 MG Oral Tablet [Segluromet] Box of 56 by MSD,Drug,RxNorm Extension,S,793293
1830932,ertugliflozin 2.5 MG / metformin 1000 MG Oral Tablet [Segluromet] Box of 196,Drug,RxNorm Extension,S,793293
1830933,ertugliflozin 2.5 MG / metformin 1000 MG Oral Tablet [Segluromet] Box of 196 by MSD,Drug,RxNorm Extension,S,793293
1830934,ertugliflozin 7.5 MG / metformin 1000 MG Oral Tablet Box of 196,Drug,RxNorm Extension,S,793293
1830935,ertugliflozin 7.5 MG / metformin 1000 MG Oral Tablet [Segluromet] Box of 56 by MSD,Drug,RxNorm Extension,S,793293
1830936,ertugliflozin 7.5 MG / metformin 1000 MG Oral Tablet [Segluromet] Box of 196,Drug,RxNorm Extension,S,793293
1830937,ertugliflozin 7.5 MG / metformin 1000 MG Oral Tablet [Segluromet] Box of 196 by MSD,Drug,RxNorm Extension,S,793293
1831138,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet Box of 98,Drug,RxNorm Extension,S,793293
1831139,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan] Box of 28 by MSD,Drug,RxNorm Extension,S,793293
1831140,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan] Box of 98,Drug,RxNorm Extension,S,793293
1831141,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan] Box of 98 by MSD,Drug,RxNorm Extension,S,793293
1831142,ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet [Steglujan] Box of 28 by MSD,Drug,RxNorm Extension,S,793293
1831143,ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet [Steglujan] Box of 98 by MSD,Drug,RxNorm Extension,S,793293
1831711,ertugliflozin 5 MG Oral Tablet Box of 98,Drug,RxNorm Extension,S,793293
1831712,ertugliflozin 5 MG Oral Tablet [Steglatro] Box of 28 by MSD,Drug,RxNorm Extension,S,793293
1831713,ertugliflozin 5 MG Oral Tablet [Steglatro] Box of 98,Drug,RxNorm Extension,S,793293
1831714,ertugliflozin 5 MG Oral Tablet [Steglatro] Box of 98 by MSD,Drug,RxNorm Extension,S,793293
1831715,ertugliflozin 15 MG Oral Tablet Box of 98,Drug,RxNorm Extension,S,793293
1831716,ertugliflozin 15 MG Oral Tablet [Steglatro] Box of 28 by MSD,Drug,RxNorm Extension,S,793293
1831717,ertugliflozin 15 MG Oral Tablet [Steglatro] Box of 98,Drug,RxNorm Extension,S,793293
1831718,ertugliflozin 15 MG Oral Tablet [Steglatro] Box of 98 by MSD,Drug,RxNorm Extension,S,793293
1970879,dapagliflozin 10 MG Delayed Release Oral Tablet Box of 10,Drug,RxNorm Extension,S,44785829
1970880,dapagliflozin 10 MG Delayed Release Oral Tablet [Forxiga] Box of 10,Drug,RxNorm Extension,S,44785829
1970881,dapagliflozin 10 MG Delayed Release Oral Tablet [Forxiga] Box of 10 by Astrazeneca,Drug,RxNorm Extension,S,44785829
1970882,dapagliflozin 10 MG Oral Tablet Box of 10,Drug,RxNorm Extension,S,44785829
1970883,dapagliflozin 10 MG Oral Tablet [Forxiga] Box of 10,Drug,RxNorm Extension,S,44785829
1970884,dapagliflozin 10 MG Oral Tablet [Forxiga] Box of 10 by Astrazeneca,Drug,RxNorm Extension,S,44785829
1970923,empagliflozin 10 MG Oral Tablet [Jardiance] Box of 100 by Bb Farma,Drug,RxNorm Extension,S,45774751
1970924,empagliflozin 25 MG Oral Tablet [Jardiance] Box of 100 by Bb Farma,Drug,RxNorm Extension,S,45774751
2043007,ertugliflozin 15 MG Oral Tablet [Steglatro] by MSD,Drug,RxNorm Extension,S,793293
2043008,ertugliflozin 5 MG Oral Tablet [Steglatro] by MSD,Drug,RxNorm Extension,S,793293
2912420,ertugliflozin 15 MG Oral Tablet [Steglatro] Box of 7,Drug,RxNorm Extension,S,793293
