source_concept_id,source_concept_name,concept_code,cohort_name,points
45586671,Mixed simple and mucopurulent chronic bronchitis,J41.8,chronic_pulmonary_disease,1
45586672,Emphysema,J43,chronic_pulmonary_disease,1
45586673,Other specified chronic obstructive pulmonary disease,J44.8,chronic_pulmonary_disease,1
45586676,Aluminosis (of lung),J63.0,chronic_pulmonary_disease,1
45586678,Hypersensitivity pneumonitis due to organic dust,J67,chronic_pulmonary_disease,1
45591560,Status asthmaticus,J46,chronic_pulmonary_disease,1
45596282,Asthma,J45,chronic_pulmonary_disease,1
45596284,Air-conditioner and humidifier lung,J67.7,chronic_pulmonary_disease,1
45601131,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,chronic_pulmonary_disease,1
45601132,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,chronic_pulmonary_disease,1
45605888,Panlobular emphysema,J43.1,chronic_pulmonary_disease,1
45605889,Bronchiectasis,J47,chronic_pulmonary_disease,1
45605890,Pneumoconiosis due to talc dust,J62.0,chronic_pulmonary_disease,1
45605891,Pneumoconiosis associated with tuberculosis,J65,chronic_pulmonary_disease,1
45605892,Suberosis,J67.3,chronic_pulmonary_disease,1
45605893,Maltworker lung,J67.4,chronic_pulmonary_disease,1
45755455,Simple and mucopurulent chronic bronchitis,J41,chronic_pulmonary_disease,1
45755456,Pneumoconiosis due to dust containing silica,J62,chronic_pulmonary_disease,1
45755457,Pneumoconiosis due to other inorganic dusts,J63,chronic_pulmonary_disease,1
45755458,Airway disease due to specific organic dust,J66,chronic_pulmonary_disease,1
42616528,"Felty syndrome, multiple sites",M05.00,rheumatologic_disease,1
42616529,"Felty syndrome, shoulder region",M05.01,rheumatologic_disease,1
42616530,"Felty syndrome, upper arm",M05.02,rheumatologic_disease,1
42616531,"Felty syndrome, forearm",M05.03,rheumatologic_disease,1
42616532,"Felty syndrome, hand",M05.04,rheumatologic_disease,1
42616533,"Felty syndrome, pelvic region and thigh",M05.05,rheumatologic_disease,1
42616534,"Felty syndrome, lower leg",M05.06,rheumatologic_disease,1
42616535,"Felty syndrome, ankle and foot",M05.07,rheumatologic_disease,1
42616536,"Felty syndrome, other",M05.08,rheumatologic_disease,1
42616537,"Felty syndrome, site unspecified",M05.09,rheumatologic_disease,1
42616538,"Rheumatoid lung disease, multiple sites",M05.10,rheumatologic_disease,1
42616539,"Rheumatoid lung disease, shoulder region",M05.11,rheumatologic_disease,1
42616540,"Rheumatoid lung disease, upper arm",M05.12,rheumatologic_disease,1
42616541,"Rheumatoid lung disease, forearm",M05.13,rheumatologic_disease,1
42616542,"Rheumatoid lung disease, hand",M05.14,rheumatologic_disease,1
42616543,"Rheumatoid lung disease, pelvic region and thigh",M05.15,rheumatologic_disease,1
42616544,"Rheumatoid lung disease, lower leg",M05.16,rheumatologic_disease,1
42616545,"Rheumatoid lung disease, ankle and foot",M05.17,rheumatologic_disease,1
42616546,"Rheumatoid lung disease, other",M05.18,rheumatologic_disease,1
42616547,"Rheumatoid lung disease, site unspecified",M05.19,rheumatologic_disease,1
42616548,"Rheumatoid vasculitis, multiple sites",M05.20,rheumatologic_disease,1
42616549,"Rheumatoid vasculitis, shoulder region",M05.21,rheumatologic_disease,1
42616550,"Rheumatoid vasculitis, upper arm",M05.22,rheumatologic_disease,1
42616551,"Rheumatoid vasculitis, forearm",M05.23,rheumatologic_disease,1
42616552,"Rheumatoid vasculitis, hand",M05.24,rheumatologic_disease,1
42616553,"Rheumatoid vasculitis, pelvic region and thigh",M05.25,rheumatologic_disease,1
42616554,"Rheumatoid vasculitis, lower leg",M05.26,rheumatologic_disease,1
42616555,"Rheumatoid vasculitis, ankle and foot",M05.27,rheumatologic_disease,1
42616556,"Rheumatoid vasculitis, other",M05.28,rheumatologic_disease,1
42616557,"Rheumatoid vasculitis, site unspecified",M05.29,rheumatologic_disease,1
42616558,"Rheumatoid arthritis with involvement of other organs and systems, multiple sites",M05.30,rheumatologic_disease,1
42616559,"Rheumatoid arthritis with involvement of other organs and systems, shoulder region",M05.31,rheumatologic_disease,1
42616560,"Rheumatoid arthritis with involvement of other organs and systems, upper arm",M05.32,rheumatologic_disease,1
42616561,"Rheumatoid arthritis with involvement of other organs and systems, forearm",M05.33,rheumatologic_disease,1
42616562,"Rheumatoid arthritis with involvement of other organs and systems, hand",M05.34,rheumatologic_disease,1
42616563,"Rheumatoid arthritis with involvement of other organs and systems, pelvic region and thigh",M05.35,rheumatologic_disease,1
42616564,"Rheumatoid arthritis with involvement of other organs and systems, lower leg",M05.36,rheumatologic_disease,1
42616565,"Rheumatoid arthritis with involvement of other organs and systems, ankle and foot",M05.37,rheumatologic_disease,1
42616566,"Rheumatoid arthritis with involvement of other organs and systems, site unspecified",M05.39,rheumatologic_disease,1
42616567,"Other seropositive rheumatoid arthritis, multiple sites",M05.80,rheumatologic_disease,1
42616568,"Other seropositive rheumatoid arthritis, shoulder region",M05.81,rheumatologic_disease,1
42616569,"Other seropositive rheumatoid arthritis, upper arm",M05.82,rheumatologic_disease,1
42616570,"Other seropositive rheumatoid arthritis, forearm",M05.83,rheumatologic_disease,1
42616571,"Other seropositive rheumatoid arthritis, hand",M05.84,rheumatologic_disease,1
42616572,"Other seropositive rheumatoid arthritis, pelvic region and thigh",M05.85,rheumatologic_disease,1
42616573,"Other seropositive rheumatoid arthritis, lower leg",M05.86,rheumatologic_disease,1
42616574,"Other seropositive rheumatoid arthritis, ankle and foot",M05.87,rheumatologic_disease,1
42616575,"Other seropositive rheumatoid arthritis, other",M05.88,rheumatologic_disease,1
42616576,"Other seropositive rheumatoid arthritis, site unspecified",M05.89,rheumatologic_disease,1
42616577,"Seropositive rheumatoid arthritis, unspecified, multiple sites",M05.90,rheumatologic_disease,1
42616578,"Seropositive rheumatoid arthritis, unspecified, shoulder region",M05.91,rheumatologic_disease,1
42616579,"Seropositive rheumatoid arthritis, unspecified, upper arm",M05.92,rheumatologic_disease,1
42616580,"Seropositive rheumatoid arthritis, unspecified, forearm",M05.93,rheumatologic_disease,1
42616581,"Seropositive rheumatoid arthritis, unspecified, hand",M05.94,rheumatologic_disease,1
42616582,"Seropositive rheumatoid arthritis, unspecified, pelvic region and thigh",M05.95,rheumatologic_disease,1
42616583,"Seropositive rheumatoid arthritis, unspecified, lower leg",M05.96,rheumatologic_disease,1
42616584,"Seropositive rheumatoid arthritis, unspecified, ankle and foot",M05.97,rheumatologic_disease,1
42616585,"Seropositive rheumatoid arthritis, unspecified, other",M05.98,rheumatologic_disease,1
