concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,PAD (broad),dani_PAD_broad
4299965,From descendants,Port-wine stain associated with spinal dysraphism,Condition,SNOMED,S,,F
4337367,From descendants,Popliteal artery thrombosis,Condition,SNOMED,S,x,T
4348039,From descendants,Thrombosis of mesenteric artery,Condition,SNOMED,S,x,T
40483538,From descendants,Atherosclerosis of bypass graft of limb,Condition,SNOMED,S,x,T
44813802,From descendants,Thrombosis of stent of renal artery,Condition,SNOMED,S,x,T
4033404,From descendants,Anomalous origin of right subclavian artery,Condition,SNOMED,S,,F
4108367,From descendants,Brachial artery aneurysm,Condition,SNOMED,S,x,T
4110200,From descendants,Radial artery aneurysm,Condition,SNOMED,S,x,T
4111848,From descendants,Embolism and thrombosis of the posterior tibial artery,Condition,SNOMED,S,x,T
4117933,From descendants,Femoral popliteal occlusion,Condition,SNOMED,S,x,T
4119614,From descendants,Femoral artery embolus,Condition,SNOMED,S,x,T
4121629,From descendants,Carotid artery aneurysm,Condition,SNOMED,S,x,T
4128218,From descendants,Acquired renal artery aneurysm,Condition,SNOMED,S,x,T
37109923,From descendants,Acute occlusion of artery of lower limb due to thrombosis,Condition,SNOMED,S,x,T
37110250,From descendants,Atherosclerosis of artery of lower limb,Condition,SNOMED,S,x,T
37163052,From descendants,Acute thrombotic common femoral artery occlusion,Condition,SNOMED,S,x,T
37163058,From descendants,Aortic aneurysm due to congenital heart disease,Condition,SNOMED,S,,F
37204744,From descendants,Congenital aneurysm of cerebral artery,Condition,SNOMED,S,,F
37204803,From descendants,"Port-wine nevi, mega cisterna magna, hydrocephalus syndrome",Condition,SNOMED,S,,F
37209563,From descendants,Aneurysm of right vertebral artery,Condition,SNOMED,S,,F
193793,From descendants,Aneurysm of visceral artery,Condition,SNOMED,S,x,T
312343,From descendants,Ruptured aortic aneurysm,Condition,SNOMED,S,,F
315558,From descendants,Atherosclerosis of arteries of the extremities,Condition,SNOMED,S,x,T
317585,From descendants,Aortic aneurysm,Condition,SNOMED,S,,F
321314,From descendants,Abdominal aortic aneurysm without rupture,Condition,SNOMED,S,,F
441044,From descendants,Atheromatous embolus of lower limb,Condition,SNOMED,S,x,T
443407,From descendants,Lower limb arterial embolus,Condition,SNOMED,S,x,T
603316,From descendants,Congenital anomaly of right renal artery,Condition,SNOMED,S,,F
609013,From descendants,Atherosclerosis of bypass graft of left upper limb,Condition,SNOMED,S,x,T
761208,From descendants,Aneurysm of left external iliac artery,Condition,SNOMED,S,x,T
761432,From descendants,Atherosclerosis of autologous bypass graft of left lower limb,Condition,SNOMED,S,x,T
761742,From descendants,Atheroembolism of right renal artery,Condition,SNOMED,S,x,T
