medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
295453015	Non-organic enuresis NOS	E276z	E276z00	165232002	256950013		32	master only (1)
317524010	[D]Enuresis NOS	R0830	R083000	165232002	1489736014		32	master only (1)
354736014	Giggle incontinence of urine	ESCTGI1		236660009	354736014		27	master only (1)
371965013	Unaware of passing urine	ESCTUN5		249284009	371965013		27	master only (1)
478855012	Non-organic enuresis	E276	E276.00	42112009	493207013		32	master only (1)
503036010	Non-organic secondary enuresis	E2761	E276100	42112009	493207013		32	master only (1)
504669015	Non-organic primary enuresis	E2760	E276000	42112009	493207013		32	master only (1)
1777475010	Overflow incontinence of urine	ESCTOV1		397878005	1777475010		27	master only (1)
121751000006117	Stress incontinence - symptom	1A24-1	1A24.11	22220005	37299019		27	master only (1)
400101000006118	[X]Nonorganic enuresis	Eu9y0	Eu9y000	42112009	493207013		32	master only (1)
772621000006118	Insertion of Kaufman prosthesis for male incontinence	7B421-1	7B42111	265597008	394429019		32	master only (1)
772821000006119	Insertion of prosthesis for compression bulb of male urethra	7B421-2	7B42112	265597008	394430012		32	master only (1)
772951000006119	Insertion of Rosen prosthesis for male incontinence	7B421-3	7B42113	265597008	394429019		32	master only (1)
867981000006119	Urinary incontin/sling opn.NOS	7B3-98	7B3..98	287775004	867981000006119		32	master only (1)
1936691000006114	Postural urinary incontinence	EMISNQPO61		236665004	354743015		27	master only (1)
2854001000006114	Genuine stress incontinence	^ESCTGE285400		22220005	481263017		27	master only (1)
2854021000006116	Stress bladder incontinence	^ESCTST285402		22220005	481258016		27	master only (1)
2854031000006118	Incontinence when straining	^ESCTIN285403		22220005	481259012		27	master only (1)
2854041000006111	SI - Stress incontinence	^ESCTSI285404		22220005	481260019		27	master only (1)
2854051000006113	Urinary stress incontinence	^ESCTUR285405		22220005	481261015		27	master only (1)
2854061000006110	GSI - Genuine stress incontinence	^ESCTGS285406		22220005	481262010		27	master only (1)
2854071000006115	Stress urinary incontinence	^ESCTST285407		22220005	1222719013		27	master only (1)
3178831000006117	Enuresis	^ESCTEN317883		42112009	3452512019		32	master only (1)
3469181000006112	Repair of urinary stress incontinence	^ESCTRE346918		59661004	99124016		32	master only (1)
3469191000006110	Surgical repair of urinary stress incontinence	^ESCTSU346919		59661004	2774386015		32	master only (1)
3478371000006111	Female urinary stress incontinence	^ESCTFE347837		60241006	2671390018		32	master only (1)
3776301000006110	Total incontinence	^ESCTTO377630		78459008	130191010		27	master only (1)
3776311000006113	Double incontinence - urine and stool	^ESCTDO377631		78459008	1234254014		27	master only (1)
3923181000006115	Must urinate at once with urge	^ESCTMU392318		87557004	507636010		27	master only (1)
3923191000006117	Lack of bladder control if desire resisted	^ESCTLA392319		87557004	507637018		27	master only (1)
3923201000006119	Lack of bladder control if desire urgent	^ESCTLA392320		87557004	507638011		27	master only (1)
3923211000006116	Urge urinary incontinence	^ESCTUR392321		87557004	1495499014		27	master only (1)
4544171000006112	History of stress incontinence	^ESCTHI454417		161794005	2986690017		27	master only (1)
4590161000006115	Unable to prevent bladder emptying	^ESCTUN459016		165232002	1494845019		27	master only (1)
4590171000006110	Urine incontinence	^ESCTUR459017		165232002	1494846018		27	master only (1)
4590181000006113	Leaking of urine	^ESCTLE459018		165232002	1494847010		27	master only (1)
4590201000006114	Unable to control bladder	^ESCTUN459020		165232002	1494849013		27	master only (1)
4590211000006112	Unable to hold urine	^ESCTUN459021		165232002	1494850013		27	master only (1)
4590221000006116	Lack of bladder control	^ESCTLA459022		165232002	1494851012		27	master only (1)
4590231000006118	Involuntary urination	^ESCTIN459023		165232002	1494852017		27	master only (1)
4590241000006111	Unable to hold fluids	^ESCTUN459024		165232002	1494853010		27	master only (1)
4590251000006113	UI - Urinary incontinence	^ESCTUI459025		165232002	1494854016		27	master only (1)
4590261000006110	Absence of bladder continence	^ESCTAB459026		165232002	1494855015		27	master only (1)
4590271000006115	Bladder incontinence	^ESCTBL459027		165232002	1494856019		27	master only (1)
4590281000006117	Loss of bladder control	^ESCTLO459028		165232002	1494857011		27	master only (1)
4590291000006119	Weak bladder	^ESCTWE459029		165232002	1494858018		27	master only (1)
5269551000006117	Passive incontinence	^ESCTPA526955		249284009	371966014		31	master only (1)
5727211000006111	Urinary incontinence/sling operation	^ESCTUR572721		287775004	427329016		31	master only (1)
6594181000006112	Paradoxic incontinence	^ESCTPA659418		397878005	1786004017		31	master only (1)
6594191000006110	Paradoxical incontinence	^ESCTPA659419		397878005	1786005016		31	master only (1)
