medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
284168016	Procedure refused	8I3	8I3..00	183944003	284168016		32	master only (1)
284178018	Refuse procedure NOS	8I3Z	8I3Z.00	183944003	284168016		32	master only (1)
291148014	Lives alone	1B1K-2	1B1K.12	105529008	291148014		27	master only (1)
291191016	Housing unsatisfactory	13EJ	13EJ.00	105531004	291191016		17	master only (1)
371003018	Housing very unsatisfactory	13EZ-1	13EZ.11	105531004	169625010		17	master only (1)
397224016	Care/help refused NOS	8I5Z	8I5Z.00	183944003	284168016		32	master only (1)
397753019	Inadequate housing NOS	13EZ	13EZ.00	105531004	169625010		17	master only (1)
398074012	Inadequate housing	13E	13E..00	105531004	3319725014		17	master only (1)
460776014	[V]Problems related to housing and economic circumstances	ZV4E	ZV4E.00	105531004	169625010		32	master only (1)
460968018	[V]Inadequate housing	ZV601	ZV60100	105531004	3319725014		32	master only (1)
460977013	[V]Other social reason for encounter	ZV60y	ZV60y00	161152002	251261013		32	master only (1)
460978015	[V]Unspecified social reason for encounter	ZV60z	ZV60z00	161152002	251261013		32	master only (1)
3634021010	Spouse dead	^ESCT1168354		739677000	3634021010		17	master only (1)
217521000000110	Housing unsatifactory	13E-2	13E..12	105531004	291191016		17	master only (1)
349421000006111	[V]Surgical/other procedure not carried out-patient decision	ZV642	ZV64200	183944003	284168016		32	master only (1)
412961000006117	[X]Other problems related to housing & econom circumstances	ZVu48	ZVu4800	161152002	251261013		32	master only (1)
419821000006111	[X]Pers with pot health haz relat socioecon/psychosoc circ	ZVu4	ZVu4.00	161152002	251261013		32	master only (1)
423451000006110	[X]Proc not carried out, patient's decisn for oth/unsp reas	ZVu3R	ZVu3R00	183944003	284168016		32	master only (1)
452431000006113	Accomodation unsuitable	13E-3	13E..13	105531004	3304571012		17	master only (1)
481191000000112	Procedure declined	8IA	8IA..00	183944003	481191000000112		32	master only (1)
1769451000006111	Procedure declined - additional	8IE	8IE..00	183944003	481191000000112		32	master only (1)
1907331000006114	Procedure declined - supplemental	8IH	8IH..00	183944003	481191000000112		32	master only (1)
1939021000006111	Lives alone	13Fc	13Fc.00	105529008	291148014		17	master only (1)
2407071000000118	Partner deceased	13IZ3	13IZ300	722228009	3331265017		17	master only (1)
4728901000006114	Procedure rejected by recipient	^ESCTPR472890		183944003	2550845014		32	master only (1)
5953511000006112	Referral to SSD services	^ESCTRE595351		306238000	449192012		40	master only (1)
5953521000006116	Referral to social services department services	^ESCTRE595352		306238000	449193019		40	master only (1)
5978551000006118	Referral to social worker	^ESCTRE597855		308440001	451771012		40	master only (1)
7828861000006111	Partner dead	^ESCTPA782886		722228009	3331266016		17	master only (1)
