medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
327555017	Fall due to collision or other accident to watercraft	T413	T413.00	217082002	329286015		32	master only (1)
329287012	Fall - accidental	TC-1	TC...11	217082002	329287012		32	master only (1)
329367013	Fall on same level from slipping, tripping or stumbling NOS	TC5z	TC5z.00	217154006	329361014		32	master only (1)
329382015	Other accidental fall NOS	TCyz	TCyz.00	217082002	329286015		32	master only (1)
332841017	[X]Fall on same level from slipping, tripping and stumbling	U101	U101.00	217154006	329361014		32	master only (1)
292031000006110	[D] Geriatric fall	R200-2	R200.12	298344006	439018012		32	master only (1)
386201000006115	[X]Fall same level from slip trip + stumb occ resid instit	U1011	U101100	217154006	329361014		32	master only (1)
386211000006117	[X]Fall same level from slip trip+stumb, occ street/highway	U1014	U101400	217154006	329361014		32	master only (1)
386221000006113	[X]Fall same level from slip trip+stumbling, occur on farm	U1017	U101700	217154006	329361014		32	master only (1)
386241000006118	[X]Fall same level, slip trip+stumb, occ other specif place	U101y	U101y00	217154006	329361014		32	master only (1)
386251000006116	[X]Fall same levl frm slip trip + stumb, occurrence at home	U1010	U101000	217154006	329361014		32	master only (1)
386261000006119	[X]Fall same levl frm slip trip+stumbling, occ unspec place	U101z	U101z00	217154006	329361014		32	master only (1)
386331000006115	[X]Fall same levl, slip trip+stumb occ indust/construct area	U1016	U101600	217154006	329361014		32	master only (1)
386341000006113	[X]Fall sme levl frm slip trip+stumb, occ sport/athlet area	U1013	U101300	217154006	329361014		32	master only (1)
386351000006110	[X]Fall sme levl slp trp+stmb occ sch, oth inst/pub adm area	U1012	U101200	217154006	329361014		32	master only (1)
386361000006112	[X]Fall sme lvl frm slip trip+stumb, occ trade/service area	U1015	U101500	217154006	329361014		32	master only (1)
663711000006114	Fall due to watercraft accid - crew other watercraft injured	T4132	T413200	217082002	329286015		32	master only (1)
663721000006118	Fall due to watercraft accid - docker or stevedore injured	T4136	T413600	217082002	329286015		32	master only (1)
663731000006115	Fall due to watercraft accid - occ small powered boat inj	T4131	T413100	217082002	329286015		32	master only (1)
663741000006113	Fall due to watercraft accid - occ small unpowered boat inj	T4130	T413000	217082002	329286015		32	master only (1)
663751000006110	Fall due to watercraft accid - other specified person inj	T413y	T413y00	217082002	329286015		32	master only (1)
663761000006112	Fall due to watercraft accid - passenger oth watercraft inj	T4133	T413300	217082002	329286015		32	master only (1)
663771000006117	Fall due to watercraft accid - swimmer injured	T4135	T413500	217082002	329286015		32	master only (1)
663781000006119	Fall due to watercraft accid - unspecified person injured	T413z	T413z00	217082002	329286015		32	master only (1)
663791000006116	Fall due to watercraft accid - water skier injured	T4134	T413400	217082002	329286015		32	master only (1)
901061000006110	Fall - on same level	TC5-99	TC5..99	217154006	901061000006110		32	master only (1)
991201000006117	Accidental fall NOS	TC-99	TC...99	217082002	991201000006117		32	master only (1)
1817091000006116	[D]Tendency to fall	R01z6	R01z600	161898004	252318014		32	master only (1)
5851711000006111	Elderly fall	^ESCTEL585171		298344006	439017019		32	master only (1)
