medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
317235018	[D]Anorexia NOS	R030z	R030z00	79890006	132549012		32	master only (1)
372208017	Anorexia symptom	1612-1	1612.11	249468005	372208017		27	master only (1)
437661000006118	Abnormal weight loss - symptom	1625-1	1625.11	267024001	397867018		27	master only (1)
734511000006115	Loss of appetite - symptom	1612-2	1612.12	79890006	132549012		27	master only (1)
903061000006114	Weight Loss	1623-99	1623.99	161832001	903061000006114		27	master only (1)
1715211000000118	Unintentional weight loss	1627	1627.00	448765001	2899697019		27	master only (1)
3547211000006118	Decrease in appetite	^ESCTDE354721		64379006	499834011		27	master only (1)
3547231000006112	Poor appetite	^ESCTPO354723		64379006	499836013		27	master only (1)
3799251000006119	Anorexia	^ESCTAN379925		79890006	132550012		27	master only (1)
3799261000006117	Anorexic	^ESCTAN379926		79890006	504243018		27	master only (1)
3799271000006112	No appetite	^ESCTNO379927		79890006	504244012		27	master only (1)
3799281000006110	Off food	^ESCTOF379928		79890006	504245013		27	master only (1)
4544701000006119	Losing weight	^ESCTLO454470		161832001	252193012		27	master only (1)
4544711000006116	Progressive weight loss	^ESCTPR454471		161832001	2646366011		27	master only (1)
5497591000006115	Abnormal decrease in weight	^ESCTAB549759		267024001	2162367017		27	master only (1)
7359841000006118	Involuntary weight loss	^ESCTIN735984		448765001	3425621016		27	master only (1)
