medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
292523015	Diabetes mellitus NOS with peripheral circulatory disorder	C107z	C107z00	421895002	2618203015		32	master only (1)
300510018	Other specified peripheral vascular disease	G73y	G73y.00	400047006	1779317016		32	master only (1)
300511019	Peripheral angiopathic disease EC NOS	G73y1	G73y100	400047006	1779317016		32	master only (1)
300514010	Other specified peripheral vascular disease NOS	G73yz	G73yz00	400047006	1779317016		32	master only (1)
300963017	[X]Other specified peripheral vascular diseases	Gyu74	Gyu7400	400047006	1779317016		32	master only (1)
300970017	[X]Peripheral angiopathy in diseases classified elsewhere	Gyu7A	Gyu7A00	400047006	1779317016		32	master only (1)
350533013	Peripheral ischaemia	G73-3	G73..13	233958001	350533013		32	master only (1)
350535018	Peripheral ischaemic vascular disease	G73-1	G73..11	233958001	350535018		32	master only (1)
350540014	Upper limb ischaemia	ESCTUP1		233959009	350540014		32	master only (1)
459306016	Type II diabetes mellitus with peripheral angiopathy	C10FF-1	C10FF11	314902007	459306016		32	master only (1)
13791000006111	Other specified diabetes mellitus with periph circ comps	C107y	C107y00	421895002	2618203015		32	master only (1)
84591000006119	Type 2 diabetes mellitus with peripheral angiopathy	C109F-2	C109F12	314902007	459308015		32	master only (1)
84961000006116	Type II diabetes mellitus with peripheral angiopathy	C109F-1	C109F11	314902007	459306016		32	master only (1)
213421000006113	Precerebral atherosclerosis	G670-1	G670.11	55382008	92070010		32	master only (1)
616351000006115	Diabetes mellitus with gangrene	C107-1	C107.11	422275004	2616612015		32	master only (1)
616831000006118	Diabetes with gangrene	C107-2	C107.12	422275004	2616612015		32	master only (1)
742481000006118	Ischaemia of legs	G73-2	G73..12	233961000	350546015		32	master only (1)
772141000006118	Insulin dependent diab mell with peripheral angiopathy	C108G	C108G00	421895002	2618203015		32	master only (1)
787101000006114	IDDM with peripheral circulatory disorder	C1073	C107300	421895002	2618203015		32	master only (1)
881511000006113	Diabetes + periph.circulat.dis	C107-99	C107.99	422275004	881511000006113		32	master only (1)
884541000006110	Cerebral arteriosclerosis	G670-99	G670.99	55382008	884541000006110		32	master only (1)
913621000006112	Insulin dependent diabetes mellitus with gangrene	C10E6-2	C10E612	422275004	2616612015		32	master only (1)
913921000006119	Insulin dependent diab mell with peripheral angiopathy	C10EG-2	C10EG12	421895002	2618203015		32	master only (1)
4557961000006113	On examination - right dorsalis pedis pulse absent	^ESCTON455796		163109009	4557961000006113		27	master only (1)
4558141000006111	On examination - left dorsalis pedis absent	^ESCTON455814		163121008	4558141000006111		27	master only (1)
4807571000006117	Ischemic ulcer diabetic foot	^ESCTIS480757		201250006	309178017		32	master only (1)
5057981000006111	Peripheral ischemic vascular disease	^ESCTPE505798		233958001	350534019		32	master only (1)
5058001000006116	Peripheral ischemia	^ESCTPE505800		233958001	350536017		32	master only (1)
5058021000006114	Upper limb ischemia	^ESCTUP505802		233959009	350537014		31	master only (1)
5058031000006112	Ischaemic arm	^ESCTIS505803		233959009	350538016		31	master only (1)
5058041000006119	Ischemic arm	^ESCTIS505804		233959009	350539012		31	master only (1)
5058071000006110	Lower limb ischaemia	^ESCTLO505807		233961000	350544017		32	master only (1)
5058081000006113	Lower limb ischemia	^ESCTLO505808		233961000	350543011		32	master only (1)
5058091000006111	Ischemic leg	^ESCTIS505809		233961000	350545016		32	master only (1)
5974661000006111	On examination - Absent right foot pulses	^ESCTON597466		308072006	2670308012		27	master only (1)
6633851000006110	PVD-peripheral vascular disease	^ESCTPV663385		400047006	2162392019		32	master only (1)
6749921000006117	On examination - right dorsalis pedis pulse abnormal	^ESCTON674992		407640009	2673091016		27	master only (1)
6980041000006115	Diabetic peripheral circulatory disorder	^ESCTDI698004		421895002	2623038010		32	master only (1)
6987011000006115	Gangrene associated with diabetes mellitus	^ESCTGA698701		422275004	2616612015		32	master only (1)
12335981000006115	Peripheral vascular disorder co-occurrent and due to diabetes mellitus	^ESCT1233598		421895002	3688500010		32	master only (1)
12335991000006117	Peripheral vascular disorder due to diabetes mellitus	^ESCT1233599		421895002	12335991000006117		32	master only (1)
12449851000006114	O/E - R.dorsalis pedis absent	^ESCT1244985		163109009	254183016		27	master only (1)
12454231000006117	O/E - L.dorsalis pedis absent	^ESCT1245423		163121008	254207011		27	master only (1)
12704411000006113	Peripheral circulatory disorder associated with diabetes mellitus	^ESCT1270441		421895002	2618203015		32	master only (1)
