medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
451467013	[D]Breathlessness	R060D	R060D00	267036007	397888010		32	master only (1)
498862013	Dyspnoea on exertion	173C-1	173C.11	60845006	498862013		27	master only (1)
140461000006116	Shortness of breath symptom	173-3	173..13	267036007	397886014		27	master only (1)
525741000006111	Breathlessness symptom	173-1	173..11	267036007	397886014		27	master only (1)
633381000006111	Dyspnoea - symptom	173-2	173..12	267036007	397886014		27	master only (1)
910901000006116	SOBOE	173C-2	173C.12	60845006	498862013		27	master only (1)
3488341000006110	Exertional dyspnea	^ESCTEX348834		60845006	101102017		27	master only (1)
3488351000006112	Breathlessness on exertion	^ESCTBR348835		60845006	101103010		27	master only (1)
3488361000006114	Dyspnea on effort	^ESCTDY348836		60845006	101104016		27	master only (1)
3488371000006119	Dyspnoea on effort	^ESCTDY348837		60845006	101105015		27	master only (1)
3488381000006116	Exertional dyspnoea	^ESCTEX348838		60845006	199001013		27	master only (1)
3488391000006118	Dyspnea on exertion	^ESCTDY348839		60845006	498863015		27	master only (1)
3488411000006118	SOBOE - Shortness of breath on exertion	^ESCTSO348841		60845006	1232139013		27	master only (1)
4545421000006118	Dyspnoea at rest	^ESCTDY454542		161941007	252389010		27	master only (1)
4545441000006113	SOBAR - Shortness of breath at rest	^ESCTSO454544		161941007	252388019		27	master only (1)
4545451000006110	Dyspnea at rest	^ESCTDY454545		161941007	252390018		27	master only (1)
4554051000006116	O/E - dyspnea	^ESCTOE455405		162890008	253888018		27	master only (1)
4554061000006119	On examination - dyspnea	^ESCTON455406		162890008	2667239013		27	master only (1)
5004071000006110	Respiration difficult	^ESCTRE500407		230145002	344918011		27	master only (1)
5004081000006113	DIB - Difficulty in breathing	^ESCTDI500408		230145002	344919015		27	master only (1)
5497731000006112	Dyspnea	^ESCTDY549773		267036007	397885013		27	master only (1)
5497741000006119	Breathless	^ESCTBR549774		267036007	397887017		27	master only (1)
5497761000006115	SOB - Shortness of breath	^ESCTSO549776		267036007	397889019		27	master only (1)
6519321000006110	Medical Research Council (MRC) Breathlessness Scale: grade 4	^ESCTME651932		391125004	2621396010		27	master only (1)
6519331000006113	Medical Research Council Breathlessness Scale grade 4	^ESCTME651933		391125004	2913683013		27	master only (1)
