medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
43698017	Shaking	1B22-2	1B22.12	26079004	43698017		27	master only (1)
297041011	Other basal ganglia degenerative diseases	F130	F130.00	230226000	345032019		32	master only (1)
297045019	Other basal ganglia degenerative disease NOS	F130z	F130z00	230226000	345032019		32	master only (1)
297046018	Essential and other specified forms of tremor	F131	F131.00	26079004	43694015		32	master only (1)
297054016	Essential and other specified forms of tremor NOS	F131z	F131z00	26079004	43694015		32	master only (1)
299323018	[X]Secondary parkinsonism due to other external agents	Fyu2B	Fyu2B00	230292008	345117012		32	master only (1)
345121017	Vascular parkinsonism	F124	F124.00	230296006	345121017		32	master only (1)
402513014	O/E - festination	2994-2	2994.12	268964003	402513014		27	master only (1)
402514015	O/E - Parkinson gait	2994-1	2994.11	268964003	402514015		27	master only (1)
483107017	Has a tremor	1B22	1B22.00	26079004	483107017		27	master only (1)
87021000006116	Tremor symptom	1B22-1	1B22.11	26079004	43694015		27	master only (1)
280121000006113	O/E - Parkinson posture	2987-1	2987.11	163681009	254944017		27	master only (1)
299641000000112	[X]Lewy body dementia	Eu025	Eu02500	80098002	132893017		32	master only (1)
350621000006118	[X] Adverse react to anticonvuls or antiparkinson drug NOS	U6067-9	U606719	430136001	2765075015		5	master only (1)
351581000006110	[X] Adverse reaction to antiparkinsonism drug	U6067-1	U606711	430136001	2765075015		5	master only (1)
428581000006114	[X]Systemic atrophies primarily affecting the CNS	Fyu1	Fyu1.00	230226000	345032019		32	master only (1)
428601000006116	[X]Systemic atrophy affecting the CNS in other diseases CE	Fyu16	Fyu1600	230226000	345032019		32	master only (1)
630491000006110	Drug induced parkinsonism	F121-1	F121.11	4223005	8118011		5	master only (1)
882961000006112	Secondary Parkinsonism - drugs	F121-99	F121.99	4223005	882961000006112		5	master only (1)
1148731000000112	History of Parkinson's disease	147F	147F.00	515841000000104	1148731000000112		32	master only (1)
2566251000006117	Parkinsonism caused by drug	^ESCTPA256625		4223005	3293904015		5	master only (1)
2917211000006111	Involuntary trembling	^ESCTIN291721		26079004	43696018		27	master only (1)
2917221000006115	Involuntary quiver	^ESCTIN291722		26079004	43697010		27	master only (1)
2917241000006110	Shakes	^ESCTSH291724		26079004	43699013		27	master only (1)
2917251000006112	Trembling	^ESCTTR291725		26079004	43700014		27	master only (1)
2917261000006114	Quivering	^ESCTQU291726		26079004	483104012		27	master only (1)
2917271000006119	The shakes	^ESCTTH291727		26079004	483105013		27	master only (1)
2917281000006116	Shaking all over	^ESCTSH291728		26079004	483106014		27	master only (1)
3028151000006111	Parkinsonism	^ESCTPA302815		32798002	54747017		32	master only (1)
3028161000006113	Disorders presenting primarily with parkinsonism	^ESCTDI302816		32798002	485326018		31	master only (1)
3293611000006112	Paralysis agitans	^ESCTPA329361		49049000	81719014		32	master only (1)
3293621000006116	Shaking palsy	^ESCTSH329362		49049000	81722011		32	master only (1)
3293631000006118	Idiopathic Parkinson's disease	^ESCTID329363		49049000	1230677014		32	master only (1)
3293641000006111	Parkinson disease	^ESCTPA329364		49049000	1230678016		32	master only (1)
3293651000006113	PD - Parkinson's disease	^ESCTPD329365		49049000	1230679012		32	master only (1)
3293661000006110	Parkinsons disease	^ESCTPA329366		49049000	2920648011		32	master only (1)
3293671000006115	Primary Parkinsonism	^ESCTPR329367		49049000	3014123010		32	master only (1)
3293681000006117	Idiopathic Parkinsonism	^ESCTID329368		49049000	3014178016		32	master only (1)
3802621000006119	Lewy body variant of Alzheimer's disease	^ESCTLE380262		80098002	132894011		32	master only (1)
3802631000006116	SDLT - Senile dementia of the Lewy body type	^ESCTSD380263		80098002	1234435012		32	master only (1)
3802641000006114	LBD - Lewy body disease	^ESCTLB380264		80098002	1234436013		32	master only (1)
3802651000006111	Dementia of the Lewy body type	^ESCTDE380265		80098002	1234437016		32	master only (1)
3802661000006113	DLBD - Diffuse Lewy body disease	^ESCTDL380266		80098002	1234438014		32	master only (1)
3802671000006118	Cortical Lewy body disease	^ESCTCO380267		80098002	1234439018		32	master only (1)
3802681000006115	CLBD - Cortical Lewy body disease	^ESCTCL380268		80098002	1234440016		32	master only (1)
4567631000006119	On examination - Parkinsonian tremor	^ESCTON456763		163672003	2668230010		27	master only (1)
4567791000006110	On examination - Parkinson flexion posture	^ESCTON456779		163681009	2668239011		27	master only (1)
5005041000006118	System disorder of the nervous system	^ESCTSY500504		230226000	2470099012		32	master only (1)
5005921000006112	Secondary Parkinson's disease	^ESCTSE500592		230292008	1223019010		32	master only (1)
5005931000006110	Secondary Parkinson disease	^ESCTSE500593		230292008	1223020016		32	master only (1)
5509101000006115	On examination - festination-Parkinson gait	^ESCTON550910		268964003	2670023012		27	master only (1)
7115041000006112	Adverse reaction caused by antiparkinsonism drug	^ESCTAD711504		430136001	3292544011		5	master only (1)
8193781000006112	History of Parkinson disease	^ESCTHI819378		515841000000104	1157001000000119		32	master only (1)
