MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
391354016	Fracture of lower end of radius	S23B	S23B.00	263199001	391354016		32
402859019	Closed Colles' fracture	S2341	S234100	269083002	402859019		32
319180015	Fracture of femur, NOS	S31z	S31z.00	71620000	118978017		32
10843018	Fracture of neck of femur	S30	S30..00	5913000	10843018		32
318454018	Closed fracture lumbar vertebra	S104	S104.00	207957008	318454018		32
455536018	Collapse of vertebra due to osteoporosis NOS	N331L	N331L00	240198002	2920899019		32
319118015	Closed fracture of proximal femur, pertrochanteric	S302	S302.00	208548007	319118015		32
1220723013	Fracture of thoracic vertebra	S15	S15..00	125607007	1220723013		32
400338014	Pathological fracture	N331	N331.00	268029009	400338014		32
207611000006114	Prmy open red+int fxn prox femoral #+screw/nail+plate device	7K1D0	7K1D000	265132005	393775016		32
455534015	Collapse of lumbar vertebra due to osteoporosis	N331J	N331J00	311890007	455534015		32
133435011	Open Colles' fracture	S2351	S235100	80411001	133435011		32
391366010	Fracture of lower end of both ulna and radius	S23C	S23C.00	263208005	391366010		32
277185016	Closed reduction of fracture of hip	7K1L4	7K1L400	179159005	277185016		32
125993015	Fracture of radius AND ulna	S23	S23..00	75857000	125993015		32
277199017	Closed reduction of fracture of radius and or ulna	7K1LL	7K1LL00	179172006	1489754013		32
391392015	Subtrochanteric fracture	S305	S305.00	263229001	391392015		32
402832010	Fracture of spine without mention of spinal cord injury	S10	S10..00	269061001	402832010		32
318456016	Closed fracture lumbar vertebra, wedge	S1041	S104100	207959006	318456016		32
318492017	Multiple fractures of lumbar spine and pelvis	S10B6	S10B600	207993005	318492017		32
562981000006117	Closed fracture of femur, intertrochanteric	S3024	S302400	89820008	148902010		32
570621000006118	Cls red+int fxn proximal femoral #+screw/nail device alone	7K1J0	7K1J000	708898008	3037770015		32
78112010	Fracture of lower limb	S3	S3...00	46866001	1230400018		32
1220724019	Fracture of lumbar vertebra	S10B0	S10B000	125608002	1220724019		32
318725011	Multiple fractures of thoracic spine	S150	S150.00	208215006	318725011		32
216206018	Fragility fracture due to unspecified osteoporosis	N331M	N331M00	443165006	2837900019		32
452081015	Collapse of lumbar vertebra	N331G	N331G00	308758008	452081015		32
318443011	Other specified closed fracture thoracic vertebra	S102y	S102y00	207938004	318435018		32
