medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
25785014	Deafness	F59-1	F59..11	15188001	25788011		32	master only (1)
73473018	Conductive deafness	F590-1	F590.11	44057004	73473018		32	master only (1)
100854015	Sensorineural deafness	F591-99	F591.99	60700002	100854015		32	master only (1)
100856018	Perceptive hearing loss	F591-4	F591.14	60700002	100856018		32	master only (1)
100857010	Perceptive deafness	F591-3	F591.13	60700002	100857010		32	master only (1)
255434015	O/E - conductive deafness	2BM2-1	2BM2.11	44057004	73473018		27	master only (1)
255435019	O/E - perceptive deafness	2BM3-1	2BM3.11	164069003	255435019		27	master only (1)
283074012	Auditory aid NOS	8D2Z	8D2Z.00	6012004	10986017		32	master only (1)
283308016	Deafness remedial therapy NOS	8E3Z	8E3Z.00	183280009	283305018		32	master only (1)
299240012	Unspecified conductive hearing loss	F5900	F590000	44057004	73470015		32	master only (1)
299248017	Conductive hearing loss NOS	F590z	F590z00	44057004	73470015		32	master only (1)
299255015	Unspecified perceptive hearing loss	F5910	F591000	60700002	100850012		32	master only (1)
299262012	Perceptive hearing loss NOS	F591z	F591z00	60700002	100850012		32	master only (1)
299551011	[X]Other specified hearing loss	FyuU1	FyuU100	15188001	25788011		32	master only (1)
348075014	Chronic deafness	F59z-1	F59z.11	232325008	348075014		32	master only (1)
407075014	Deafness symptom	1C13-1	1C13.11	272033007	407075014		27	master only (1)
411664010	Audiogram abnormal	3134-1	3134.11	275729001	411664010		3	master only (1)
460635011	[V]Problems with hearing	ZV412	ZV41200	15188001	25785014		32	master only (1)
502417018	Nerve deafness	F5912-1	F591211	73371001	502417018		32	master only (1)
1234119013	Mixed hearing loss	F592-1	F592.11	77507001	1234119013		32	master only (1)
1234121015	Mixed deafness	F592-99	F592.99	77507001	1234121015		32	master only (1)
148351000006111	Senile presbyacusis	F5801-1	F580111	49526009	82492017		32	master only (1)
423881000006117	[X]Psychogenic deafness	Eu446-1	Eu44611	30169000	50481019		32	master only (1)
733941000006114	Low frequency deafness	F591-2	F591.12	42538001	70962017		32	master only (1)
822981000006112	High frequency deafness	F591-1	F591.11	232326009	348076010		32	master only (1)
883821000006115	Senile/other presbyacusis	F5801-99	F580199	49526009	883821000006115		32	master only (1)
989081000006119	Hearing loss NOS	F59-99	F59..99	15188001	989081000006119		32	master only (1)
2595461000006113	Hearing aid	^ESCTHE259546		6012004	2595461000006113		32	master only (1)
2595471000006118	HA - Hearing aid	^ESCTHA259547		6012004	1232047010		32	master only (1)
2595481000006115	Hearing aid, device	^ESCTHE259548		6012004	2671711017		32	master only (1)
2740701000006119	Impaired hearing	^ESCTIM274070		15188001	477218019		32	master only (1)
2740711000006116	HOH - Hard of hearing	^ESCTHO274071		15188001	477219010		32	master only (1)
2740721000006112	Hard of hearing	^ESCTHA274072		15188001	477220016		32	master only (1)
2740731000006110	Hearing impairment	^ESCTHE274073		15188001	477221017		32	master only (1)
2740741000006117	Difficulty hearing	^ESCTDI274074		15188001	477222012		32	master only (1)
2740751000006115	Hypoacusis	^ESCTHY274075		15188001	477223019		32	master only (1)
2740761000006118	HL - Hearing loss	^ESCTHL274076		15188001	477224013		32	master only (1)
2740771000006113	HI - Hearing impairment	^ESCTHI274077		15188001	477225014		32	master only (1)
2985691000006112	NOHL - Non-organic hearing loss	^ESCTNO298569		30169000	1226994014		32	master only (1)
2985701000006112	Non-organic hearing loss	^ESCTNO298570		30169000	1226995010		32	master only (1)
2985711000006110	Functional hearing loss	^ESCTFU298571		30169000	1226996011		32	master only (1)
2985721000006119	FHL - Functional hearing loss	^ESCTFH298572		30169000	1226997019		32	master only (1)
3209511000006111	CHL - Conductive hearing loss	^ESCTCH320951		44057004	1230041018		32	master only (1)
3209521000006115	CD - Conductive deafness	^ESCTCD320952		44057004	1230042013		32	master only (1)
3301521000006110	Presbycusis	^ESCTPR330152		49526009	82490013		32	master only (1)
3301531000006113	Senile deafness	^ESCTSE330153		49526009	82491012		32	master only (1)
3301551000006118	Age-related hearing loss	^ESCTAG330155		49526009	1230737011		32	master only (1)
3486051000006114	Neurosensory deafness	^ESCTNE348605		60700002	100855019		32	master only (1)
3486081000006118	SND - Sensorineural deafness	^ESCTSN348608		60700002	1232121016		32	master only (1)
3486091000006115	Sensory-neural deafness	^ESCTSE348609		60700002	1232122011		32	master only (1)
3486101000006114	Sensory-neural hearing loss	^ESCTSE348610		60700002	1232123018		32	master only (1)
3486111000006112	SNHL - Sensorineural hearing loss	^ESCTSN348611		60700002	1232124012		32	master only (1)
3486121000006116	PD - Perceptive deafness	^ESCTPD348612		60700002	1232125013		32	master only (1)
3693051000006116	Nerve conduction deafness	^ESCTNE369305		73371001	502415014		32	master only (1)
3693061000006119	Retrocochlear hearing loss	^ESCTRE369306		73371001	502416010		32	master only (1)
3761211000006116	Mixed conductive AND sensorineural hearing loss	^ESCTMI376121		77507001	128669010		32	master only (1)
3761221000006112	Mixed type deafness	^ESCTMI376122		77507001	128671010		32	master only (1)
3761251000006115	MHL - Mixed hearing loss	^ESCTMH376125		77507001	1234120019		32	master only (1)
4574411000006111	O/E - conductive deafness	^ESCTOE457441		164068006	255434015		27	master only (1)
4574421000006115	On examination - tune fork=conductive deaf	^ESCTON457442		164068006	2668267019		27	master only (1)
4574451000006112	On examination - tune fork=perceptive deaf	^ESCTON457445		164069003	2668268012		27	master only (1)
4574471000006119	On examination - High tone deafness	^ESCTON457447		164070002	2668269016		27	master only (1)
11902971000006110	Unilateral deafness	^ESCT1190297		162342008	253161014		27	master only (1)
12166701000006115	Aid to hearing	^ESCT1216670		6012004	3656315011		32	master only (1)
12457891000006112	[V]Fitting or adjustment of hearing aid	^ESCT1245789		411511000000107	927411000000113		32	master only (1)
