medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
132937017	Plummer-Vinson syndrome	D00y0-2	D00y012	80126007	132937017		32	master only (1)
132939019	Sideropenic dysphagia	D00y0	D00y000	80126007	132939019		32	master only (1)
292273018	[X]Refractory anaemia, unspecified	ByuHC	ByuHC00	109996008	202875018		32	master only (1)
294098012	Secondary warm-type haemolytic anaemia	D1103	D110300	191213007	294098012		32	master only (1)
294109013	Toxic haemolytic anaemia	D1112	D111200	191218003	294109013		32	master only (1)
294116014	Haemoglobinuria due to haemolysis from external causes	D112	D112.00	191222008	294116014		32	master only (1)
294182019	Constitutional aplastic anaemia NOS	D200z	D200z00	267525005	399219010		32	master only (1)
294201016	Radiation aplastic anaemia	D2013-1	D201311	191247005	294201016		32	master only (1)
294202011	Aplastic anaemia due to radiation	D2013	D201300	191247005	294202011		32	master only (1)
294575013	[X]Other megaloblastic anaemias, not elsewhere classified	Dyu04	Dyu0400	53165003	496576014		32	master only (1)
294583019	[X]Other anaemias due to enzyme disorders	Dyu10	Dyu1000	271737000	406636013		32	master only (1)
294586010	[X]Other thalassaemias	Dyu11	Dyu1100	40108008	492446019		32	master only (1)
294595019	[X]Other nonautoimmune haemolytic anaemias	Dyu16	Dyu1600	191216004	294104015		32	master only (1)
294596018	[X]Other acquired haemolytic anaemias	Dyu17	Dyu1700	4854004	9091010		32	master only (1)
294599013	[X]Aplastic and other anaemias	Dyu2	Dyu2.00	271737000	406636013		32	master only (1)
294602015	[X]Other specified aplastic anaemias	Dyu21	Dyu2100	306058006	448863016		32	master only (1)
294606017	[X]Other sideroblastic anaemias	Dyu23	Dyu2300	41841004	178820013		32	master only (1)
351067016	Normocytic anaemia due to unspecified cause	D21z-2	D21z.12	300980002	442184016		32	master only (1)
351070017	Normocytic anaemia due to aplasia	D201-1	D201.11	234343008	351070017		32	master only (1)
351071018	Secondary anaemia NOS	D21z-1	D21z.11	271737000	406638014		32	master only (1)
351097012	Macrocytic anaemia of unspecified cause	D21z-3	D21z.13	83414005	505602015		32	master only (1)
351100019	Megaloblastic anaemia NOS	D01z-1	D01z.11	53165003	496576014		32	master only (1)
351101015	Megaloblastic anaemia due to dietary causes	D0121-2	D012112	234358000	351101015		32	master only (1)
351136016	Paroxysmal haemoglobinuria NOS	D112z-3	D112z13	191222008	294116014		32	master only (1)
351137013	Acquired haemolytic anaemia with haemoglobinuria NEC	D112z-2	D112z12	191222008	294116014		32	master only (1)
399219010	Constitutional red cell aplasia and hypoplasia	D2003	D200300	267525005	399219010		32	master only (1)
411530016	H/O: anaemia	145-1	145..11	275538002	411530016		32	master only (1)
