MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
399230013	Anaemia unspecified	D21z	D21z.00	271737000	406638014		32
745851000006117	Iron deficiency anaemias	D00	D00..00	87522002	507616014		32
492446019	Thalassaemia	D104	D104.00	40108008	492446019		32
293952018	Protein-deficiency anaemia	D014	D014.00	85746008	142125016		32
505888017	Pernicious anaemia	D010	D010.00	84027009	505888017		32
62031000006117	Vit B12 defic anaemia due to malabsorption with proteinuria	D0111	D011100	191142007	293918016		32
293008012	Vitamin B12 deficiency	C2621	C262100	190634004	293008012		32
399228011	Acute posthaemorrhagic anaemia	D211	D211.00	267530009	399228011		32
38181000006111	Other and unspecified anaemias	D21	D21..00	271737000	406638014		32
813861000006112	Haemolytic anaemias	D1	D1...00	61261009	498963016		32
500191000006115	Autoimmune haemolytic anaemias	D110	D110.00	413603009	2533078010		32
731981000006116	Macrocytic anaemia unspecified cause	D0125	D012500	83414005	505602015		32
293006011	Folic acid deficiency	C2620	C262000	190633005	293006011		32
763221000006115	Folate-deficiency anaemia	D012	D012.00	85649008	506649011		32
257523016	Ferritin level low	42R41	42R4100	165626000	257523016		11
257553011	Serum vitamin B12 low	42T2	42T2.00	165645009	257553011		11
399209016	Thalassaemia NOS	D104z	D104z00	40108008	492446019		32
493975011	Microcytic hypochromic anaemia	D00y1	D00y100	44666001	493975011		32
294567019	[X]Other iron deficiency anaemias	Dyu00	Dyu0000	87522002	507616014		32
62281000006111	Vitamin B12 deficiency anaemia, unspecified	D011X	D011X00	49472006	495414010		32
399193019	Deficiency anaemias	D0	D0...00	267513007	399193019		32
293981017	Deficiency anaemias NOS	D0z	D0z..00	267513007	399193019		32
303401012	Chronic active hepatitis	J6141	J614100	197284004	303401012		32
293877016	Other specified iron deficiency anaemia NOS	D00yz	D00yz00	87522002	507616014		32
397826011	H/O: blood disorder	145	145..00	266992002	397826011		32
293977017	[X]Megaloblastic anaemia NOS	D01z0	D01z000	53165003	496576014		32
2535668013	Refractory anaemia with sideroblasts	B9371	B937100	109998009	2535668013		32
399196010	Other deficiency anaemias	D01	D01..00	267513007	399193019		32
294251014	Chronic anaemia	D214	D214.00	191268006	294251014		32
264785015	B12 injections - at surgery	66E5	66E5.00	170823005	264785015		1
294139015	Acquired haemolytic anaemia NOS	D11z	D11z.00	4854004	495128014		32
448863016	Aplastic anaemia	D20	D20..00	306058006	448863016		32
293888010	Iron deficiency anaemia NOS	D00zz	D00zz00	87522002	507616014		32
497451015	Acquired aplastic anaemia	D201	D201.00	55907008	497451015		32
255522013	O/E - clinically anaemic	2C23	2C23.00	164142002	255522013		27
493120017	Sideroblastic anaemia	D210	D210.00	41841004	493120017		32
344913019	Refractory anaemia	D213	D213.00	109996008	344913019		32
294190019	Aplastic anaemia due to chronic disease	D2010	D201000	191244003	294190019		32
454255014	Anaemia secondary to renal failure	D215	D215.00	310647000	454255014		32
293880015	Unspecified iron deficiency anaemia	D00z	D00z.00	87522002	507616014		32
294145011	Haemolytic anaemias NOS	D1z	D1z..00	61261009	498963016		32
179181000006110	Refractory anaemia, unspecified	B937X	B937X00	109996008	202875018		32
504528016	Achlorhydric anaemia	D00z0	D00z000	80875006	504528016		32
293864013	Iron deficiency anaemia due to dietary causes	D001	D001.00	191128004	293864013		32
251615015	H/O: haemolytic anaemia	1453	1453.00	161458005	251615015		32
399225014	Acquired aplastic anaemia NOS	D201z	D201z00	55907008	497451015		32
293948018	Combined B12 and folate deficiency anaemia	D0130	D013000	191154007	293948018		32
