concept_id,concept_name,Site
760396,Closed fracture of intermediate cuneiform bone of right foot,Foot
760395,Closed fracture of lateral cuneiform bone of left foot,Foot
760394,Closed fracture of lateral cuneiform bone of right foot,Foot
760393,Closed fracture of medial cuneiform bone of left foot,Foot
760392,Closed fracture of medial cuneiform bone of right foot,Foot
760391,Closed fracture of calcaneus bone of left foot,Foot
760390,Closed fracture of cuboid bone of left foot,Foot
760349,Closed fracture of navicular bone of left foot,Foot
760348,Closed fracture of navicular bone of right foot,Foot
441980,Closed fracture of foot,Foot
437999,Closed fracture of cuneiform bone of foot,Foot
81707,Closed fracture of cuboid bone of foot,Foot
80241,Closed fracture of navicular bone of foot,Foot
80232,Closed fracture of calcaneus,Foot
40483548,Fracture of head of radius with dislocation of distal radioulnar joint and interosseous membrane disruption,Forearm
4136716,Fracture of radial head,Forearm
4083489,Fracture of coronoid process of ulna,Forearm
4083488,Fracture of olecranon,Forearm
4018218,Closed fracture subluxation superior radioulnar joint,Forearm
4017653,Closed fracture dislocation superior radioulnar joint,Forearm
4009436,"Closed fracture olecranon, intra-articular",Forearm
4009435,"Closed fracture olecranon, extra-articular",Forearm
765341,Closed fracture of head of right radius,Forearm
761981,Fracture of head of right radius,Forearm
760440,Closed fracture of head of left radius,Forearm
760268,Closed fracture of olecranon process of left ulna,Forearm
760267,Closed fracture of olecranon process of right ulna,Forearm
760262,Closed fracture of coronoid process of left ulna,Forearm
760261,Closed fracture of coronoid process of right ulna,Forearm
79172,Closed fracture of coronoid process of ulna,Forearm
73341,Closed fracture of head of radius,Forearm
73036,Closed fracture of olecranon process of ulna,Forearm
4118792,Elbow fracture - closed,Forearm
45767634,Closed fracture of navicular bone of wrist with dislocation of perilunate joint,Forearm
760451,Closed fracture of navicular bone of left wrist with dislocation of perilunate joint,Forearm
760450,Closed fracture of navicular bone of right wrist with dislocation of perilunate joint,Forearm
760449,Closed fracture of navicular bone of left wrist,Forearm
760448,Closed fracture of navicular bone of right wrist,Forearm
45773541,Closed fracture of proximal epiphysis of radius,Forearm
4136715,Fracture of proximal end of radius,Forearm
439940,Closed fracture of upper end of forearm,Forearm
4138300,Fracture of radial neck,Forearm
760501,Closed fracture of neck of left radius,Forearm
760500,Closed fracture of neck of right radius,Forearm
436837,Closed fracture of neck of radius,Forearm
46271800,Pathological fracture of distal radius and distal ulna,Forearm
45772718,Pathological fracture of radius due to osteoporosis,Forearm
45772713,Pathological fracture of radius due to secondary osteoporosis,Forearm
45772685,Closed fracture of hand,Forearm
45767045,Pathological fracture of ulna due to osteoporosis,Forearm
45767040,Pathological fracture of hand due to osteoporosis,Forearm
45767006,Pathological fracture of hand due to secondary osteoporosis,Forearm
45767001,Pathological fracture of ulna due to secondary osteoporosis,Forearm
45766942,Closed fracture of distal epiphysis of radius,Forearm
45766905,Pathological fracture of radius,Forearm
45766902,Pathological fracture of ulna,Forearm
42539096,Fracture of lower end of radius with dorsal tilt,Forearm
42537719,Fracture of lower end of radius with volar tilt,Forearm
40598639,Closed fracture of shaft of radius and ulna,Forearm
40491988,Closed extraarticular fracture of distal radius,Forearm
40489449,Greenstick fracture of distal radius,Forearm
40484196,Pathological fracture of distal ulna,Forearm
40484195,Pathological fracture of distal radius,Forearm
37209547,Closed fracture of metaphysis of distal end of right radius,Forearm
37209546,Closed fracture of metaphysis of distal end of left radius,Forearm
37209161,Closed fracture of lunate bone of left wrist,Forearm
37209160,Closed fracture of trapezoidal bone of left wrist,Forearm
37209159,Closed fracture of trapezoidal bone of right wrist,Forearm
37208072,Fracture of bone of right hand,Forearm
37208071,Fracture of bone of left hand,Forearm
37116502,Fracture of shaft of ulna and radius,Forearm
4328220,Fracture of triquetral bone of wrist,Forearm
4311941,Fracture of hamate bone of wrist,Forearm
4278672,Fracture of forearm,Forearm
4263567,Closed fracture of head of ulna,Forearm
4263321,Quervain's fracture,Forearm
4253933,Fracture of trapezium of wrist,Forearm
4249740,Fracture of capitate bone of wrist,Forearm
4248416,Closed multiple fractures of upper end of ulna,Forearm
4243344,Closed multiple fractures of upper end of radius,Forearm
4240329,Moore's fracture,Forearm
4222457,Fracture of pisiform bone of wrist,Forearm
4218884,Fracture of carpal bone,Forearm
4183283,Barton's fracture,Forearm
4182555,Fracture of ulna,Forearm
4164959,Closed fracture of styloid process of ulna,Forearm
4152174,Galeazzi fracture dislocation,Forearm
4146169,Closed Barton's fracture,Forearm
4145731,Fracture dislocation distal radioulnar joint,Forearm
4142415,Hutchinson's fracture,Forearm
4138301,Fracture of distal end of radius and ulna,Forearm
4138280,Fracture subluxation of joint of hand,Forearm
4137945,Fracture of scaphoid bone of wrist,Forearm
4136720,Fracture of sesamoid bone of hand,Forearm
4136719,Fracture of shaft of radius and/or ulna,Forearm
4136718,Fracture of proximal end of ulna,Forearm
4136717,Fracture of shaft of radius,Forearm
4136571,Fracture dislocation of perilunate joint,Forearm
4136570,Fracture dislocation of lunate,Forearm
4135743,Fracture of distal end of ulna,Forearm
4135742,Dorsal Barton's fracture,Forearm
4135642,Fracture subluxation of perilunate joint,Forearm
4135641,Fracture subluxation of lunate,Forearm
4135639,Fracture subluxation of midcarpal joint,Forearm
4135638,Fracture subluxation of radiocarpal joint,Forearm
4135637,Fracture subluxation of superior radioulnar joint,Forearm
4135099,Fracture dislocation of midcarpal joint,Forearm
4135098,Fracture dislocation of radiocarpal joint,Forearm
4134326,Fracture of proximal end of radius and ulna,Forearm
4134325,Fracture of shaft of ulna,Forearm
4134323,Volar Barton's fracture,Forearm
4134322,Fracture of distal end of radius,Forearm
4134304,Fracture subluxation of wrist,Forearm
4131595,Fracture of radius,Forearm
4118017,Pathological fracture - hand,Forearm
4105126,Fracture of ulnar styloid,Forearm
4105124,Transstyloid-perilunate fracture dislocation,Forearm
4105123,Transscaphoid-perilunate fracture dislocation,Forearm
4101989,Closed fracture of shaft of bone of forearm,Forearm
4097991,Skillern's fracture,Forearm
4085545,Volar transscaphoid-lunate fracture dislocation,Forearm
4085544,Transstyloid-scaphoid-perilunate fracture dislocation,Forearm
4085543,Transscaphoid-capitate-hamate-triquetral-perilunate fracture dislocation,Forearm
4083375,Fracture of radial styloid,Forearm
4083374,Transscaphoid-capitate-perilunate fracture dislocation,Forearm
4071876,Fracture of hand,Forearm
4063560,Fracture of lunate bone of wrist,Forearm
4049285,Closed reverse Colles' fracture,Forearm
4048846,Monteggia's fracture,Forearm
4047788,Reversed Colles' fracture,Forearm
4047787,Colles' fracture,Forearm
4032935,Fracture of trapezoidal bone of wrist,Forearm
4018226,Closed fracture subluxation perilunate transscaphoid,Forearm
4018225,Closed fracture subluxation of the wrist,Forearm
4018222,Closed fracture dislocation midcarpal,Forearm
4018221,Closed fracture dislocation of wrist,Forearm
4017661,Closed fracture subluxation midcarpal,Forearm
4017657,Closed fracture dislocation perilunate transscaphoid,Forearm
4017656,Closed fracture dislocation radiocarpal joint,Forearm
4017655,Closed fracture dislocation distal radioulnar joint,Forearm
4015971,Multiple fractures of forearm,Forearm
