medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
73466011	Non-insulin dependent diabetes mellitus	C1001-2	C100112	44054006	493773010		32	master only (1)
77727018	Insulin dependent diabetes mellitus	C10E-2	C10E.12	73211009	121589010		32	master only (1)
82373015	Diabetic polyneuropathy	F372-1	F372.11	49455004	82373015		32	master only (1)
205225016	Diabetic nephropathy	C104-1	C104.11	127013003	205225016		32	master only (1)
264716012	Diabetic - poor control NOS	66AJz	66AJz00	268519009	401531012		1	master only (1)
292489017	Diabetes mellitus NOS with ketoacidotic coma	C103z	C103z00	420422005	2616611010		32	master only (1)
292538019	Type I diabetes mellitus with ulcer	C10E5-1	C10E511	190368000	292538019		32	master only (1)
292550013	Type I diabetes mellitus - poor control	C10E8-1	C10E811	444073006	2872487013		32	master only (1)
292551012	Type I diabetes mellitus maturity onset	C10E9-1	C10E911	190372001	292551012		32	master only (1)
292576013	Type II diabetes mellitus with multiple complications	C10F3-1	C10F311	190388001	292576013		32	master only (1)
292581016	Type II diabetes mellitus with ulcer	C10F4-1	C10F411	190389009	292581016		32	master only (1)
292589019	Type II diabetes mellitus - poor control	C10F7-1	C10F711	443694000	2921019012		32	master only (1)
292621010	Diabetes mellitus NOS with other specified manifestation	C10yz	C10yz00	73211009	121589010		32	master only (1)
293756010	[X]Other specified diabetes mellitus	Cyu20	Cyu2000	73211009	121589010		32	master only (1)
354316011	Renal diabetes	C314-1	C314.11	127013003	3688488015		32	master only (1)
354508018	Clinical diabetic nephropathy	K08yA-1	K08yA11	236500003	354508018		32	master only (1)
354509014	Proteinuric diabetic nephropathy	K08yA	K08yA00	236500003	354509014		32	master only (1)
356085010	Maturity onset diabetes in youth type 2	C10D-1	C10D.11	237604008	356085010		32	master only (1)
356111014	Insulin-dependent diabetes mellitus secretory diarrhoea syndrome	ESCTIN27		237618001	356111014		32	master only (1)
356115017	Congenital insulin-dependent diabetes mellitus with fatal secretory diarrhoea	ESCTIN27-1		237618001	356115017		32	master only (1)
457325013	Type I diabetes mellitus without complication	C10EA-1	C10EA11	313435000	457325013		32	master only (1)
457327017	Insulin-dependent diabetes without complication	C10EA-2	C10EA12	111552007	178796018		32	master only (1)
457330012	Type II diabetes mellitus without complication	C10F9-1	C10F911	313436004	457330012		32	master only (1)
459163017	Type I diabetes mellitus with hypoglycaemic coma	C10EE-1	C10EE11	314771006	459163017		32	master only (1)
459169018	Type II diabetes mellitus with hypoglycaemic coma	C10FD-1	C10FD11	719216001	3316336015		32	master only (1)
459295013	Type I diabetes mellitus with neuropathic arthropathy	C10EJ-1	C10EJ11	71771000119100	3010513018		32	master only (1)
459306016	Type II diabetes mellitus with peripheral angiopathy	C10FF-1	C10FF11	314902007	459306016		32	master only (1)
459311019	Type II diabetes mellitus with arthropathy	C10FG-1	C10FG11	314903002	459311019		32	master only (1)
459312014	Type II diabetes mellitus with neuropathic arthropathy	C10FH-1	C10FH11	314904008	459312014		32	master only (1)
483886014	Maturity onset diabetes in youth	C10C-1	C10C.11	609561005	2967884018		32	master only (1)
493773010	NIDDM - Non-insulin dependent diabetes mellitus	C109-1	C109.11	44054006	493773010		32	master only (1)
493774016	Type II diabetes mellitus	C10F-1	C10F.11	44054006	493774016		32	master only (1)
494564012	Type I diabetes mellitus	C10E-1	C10E.11	46635009	494564012		32	master only (1)
1223147012	Insulin treated Type II diabetes mellitus	C10FJ-1	C10FJ11	237599002	1223147012		32	master only (1)
1223148019	Insulin treated non-insulin dependent diabetes mellitus	C109J-1	C109J11	237599002	1223148019		32	master only (1)
2160025013	Diabetic medicine	9b920	9b92000	408475000	2160025013		37	master only (1)
3537388019	Diabetic oculopathy due to type 1 diabetes mellitus	^ESCT1168360		739681000	3537388019		32	master only (1)
13791000006111	Other specified diabetes mellitus with periph circ comps	C107y	C107y00	421895002	2618203015		32	master only (1)
13811000006110	Other specified diabetes mellitus with unspecified comps	C10zy	C10zy00	74627003	123939015		32	master only (1)
84281000006115	Type 1 diabetes mellitus	C108-2	C108.12	46635009	197984010		32	master only (1)
84291000006117	Type 1 diabetes mellitus - poor control	C1088-2	C108812	444073006	2872487013		32	master only (1)
84301000006116	Type 1 diabetes mellitus maturity onset	C1089-2	C108912	190372001	292553010		32	master only (1)
84321000006114	Type 1 diabetes mellitus with diabetic cataract	C108F-2	C108F12	421920002	2618234016		32	master only (1)
84341000006119	Type 1 diabetes mellitus with hypoglycaemic coma	C108E-2	C108E12	314771006	459161015		32	master only (1)
84351000006117	Type 1 diabetes mellitus with mononeuropathy	C108B-2	C108B12	420918009	2618199015		32	master only (1)
84361000006115	Type 1 diabetes mellitus with multiple complications	C1083-2	C108312	422228004	2618232017		32	master only (1)
84371000006110	Type 1 diabetes mellitus with nephropathy	C108D-2	C108D12	421893009	2623054013		32	master only (1)
84381000006113	Type 1 diabetes mellitus with neurological complications	C1082-2	C108212	421468001	2618197018		32	master only (1)
84391000006111	Type 1 diabetes mellitus with neuropathic arthropathy	C108J-2	C108J12	71771000119100	3010513018		32	master only (1)
84401000006113	Type 1 diabetes mellitus with ophthalmic complications	C1081-2	C108112	739681000	3537386015		32	master only (1)
84421000006115	Type 1 diabetes mellitus with polyneuropathy	C108C-2	C108C12	713705003	3297342019		32	master only (1)
84431000006117	Type 1 diabetes mellitus with renal complications	C1080-2	C108012	421893009	2618211013		32	master only (1)
84441000006110	Type 1 diabetes mellitus with retinopathy	C1087-2	C108712	420789003	3699407019		32	master only (1)
84451000006112	Type 1 diabetes mellitus with ulcer	C1085-2	C108512	190368000	292540012		32	master only (1)
84461000006114	Type 1 diabetes mellitus without complication	C108A-2	C108A12	313435000	457326014		32	master only (1)
84471000006119	Type 2 diabetes mellitus	C109-2	C109.12	44054006	197761014		32	master only (1)
84481000006116	Type 2 diabetes mellitus - poor control	C1097-2	C109712	443694000	2921019012		32	master only (1)
84491000006118	Type 2 diabetes mellitus with arthropathy	C109G-2	C109G12	314903002	459310018		32	master only (1)
84501000006114	Type 2 diabetes mellitus with diabetic cataract	C109E-2	C109E12	420756003	3688522015		32	master only (1)
84521000006116	Type 2 diabetes mellitus with hypoglycaemic coma	C109D-2	C109D12	719216001	3316336015		32	master only (1)
84531000006118	Type 2 diabetes mellitus with mononeuropathy	C109A-2	C109A12	420436000	2618201018		32	master only (1)
84541000006111	Type 2 diabetes mellitus with multiple complications	C1093-2	C109312	190388001	292577016		32	master only (1)
84551000006113	Type 2 diabetes mellitus with nephropathy	C109C-2	C109C12	420279001	3035432019		32	master only (1)
84561000006110	Type 2 diabetes mellitus with neurological complications	C1092-2	C109212	421326000	3695406015		32	master only (1)
84571000006115	Type 2 diabetes mellitus with neuropathic arthropathy	C109H-2	C109H12	314904008	459313016		32	master only (1)
84581000006117	Type 2 diabetes mellitus with ophthalmic complications	C1091-2	C109112	422099009	3698440016		32	master only (1)
84591000006119	Type 2 diabetes mellitus with peripheral angiopathy	C109F-2	C109F12	314902007	459308015		32	master only (1)
84601000006110	Type 2 diabetes mellitus with polyneuropathy	C109B-2	C109B12	713706002	3297353013		32	master only (1)
84611000006113	Type 2 diabetes mellitus with renal complications	C1090-2	C109012	420279001	2618208012		32	master only (1)
84621000006117	Type 2 diabetes mellitus with retinopathy	C1096-2	C109612	422034002	3699410014		32	master only (1)
84631000006119	Type 2 diabetes mellitus with ulcer	C1094-2	C109412	190389009	292579018		32	master only (1)
84641000006112	Type 2 diabetes mellitus without complication	C1099-2	C109912	313436004	457329019		32	master only (1)
84651000006114	Type I diabetes mellitus	C108-3	C108.13	46635009	494564012		32	master only (1)
84661000006111	Type I diabetes mellitus - poor control	C1088-1	C108811	444073006	2872487013		32	master only (1)
84671000006116	Type I diabetes mellitus maturity onset	C1089-1	C108911	190372001	292551012		32	master only (1)
84691000006115	Type I diabetes mellitus with diabetic cataract	C108F-1	C108F11	421920002	3688521010		32	master only (1)
84711000006117	Type I diabetes mellitus with hypoglycaemic coma	C108E-1	C108E11	314771006	459163017		32	master only (1)
84721000006113	Type I diabetes mellitus with mononeuropathy	C108B-1	C108B11	420918009	3697664014		32	master only (1)
84731000006111	Type I diabetes mellitus with multiple complications	C1083-1	C108311	422228004	2967771016		32	master only (1)
84741000006118	Type I diabetes mellitus with nephropathy	C108D-1	C108D11	421893009	2623054013		32	master only (1)
84751000006116	Type I diabetes mellitus with neurological complications	C1082-1	C108211	421468001	3695401013		32	master only (1)
84761000006119	Type I diabetes mellitus with neuropathic arthropathy	C108J-1	C108J11	71771000119100	3010513018		32	master only (1)
84771000006114	Type I diabetes mellitus with ophthalmic complications	C1081-1	C108111	739681000	3698438014		32	master only (1)
84791000006110	Type I diabetes mellitus with polyneuropathy	C108C-1	C108C11	713705003	3297390014		32	master only (1)
84801000006111	Type I diabetes mellitus with renal complications	C1080-1	C108011	421893009	2623054013		32	master only (1)
84811000006114	Type I diabetes mellitus with retinopathy	C1087-1	C108711	420789003	3699407019		32	master only (1)
84821000006118	Type I diabetes mellitus with ulcer	C1085-1	C108511	190368000	292538019		32	master only (1)
84831000006115	Type I diabetes mellitus without complication	C108A-1	C108A11	313435000	457325013		32	master only (1)
84841000006113	Type II diabetes mellitus	C109-3	C109.13	44054006	493774016		32	master only (1)
84851000006110	Type II diabetes mellitus - poor control	C1097-1	C109711	443694000	2921019012		32	master only (1)
84861000006112	Type II diabetes mellitus with arthropathy	C109G-1	C109G11	314903002	459311019		32	master only (1)
84871000006117	Type II diabetes mellitus with diabetic cataract	C109E-1	C109E11	420756003	3688522015		32	master only (1)
84891000006116	Type II diabetes mellitus with hypoglycaemic coma	C109D-1	C109D11	719216001	3316336015		32	master only (1)
84901000006117	Type II diabetes mellitus with mononeuropathy	C109A-1	C109A11	420436000	3697667019		32	master only (1)
84911000006119	Type II diabetes mellitus with multiple complications	C1093-1	C109311	190388001	292576013		32	master only (1)
84921000006110	Type II diabetes mellitus with nephropathy	C109C-1	C109C11	420279001	3013392012		32	master only (1)
84931000006113	Type II diabetes mellitus with neurological complications	C1092-1	C109211	421326000	3695406015		32	master only (1)
84941000006115	Type II diabetes mellitus with neuropathic arthropathy	C109H-1	C109H11	314904008	459312014		32	master only (1)
84951000006118	Type II diabetes mellitus with ophthalmic complications	C1091-1	C109111	422099009	3698440016		32	master only (1)
84961000006116	Type II diabetes mellitus with peripheral angiopathy	C109F-1	C109F11	314902007	459306016		32	master only (1)
84971000006111	Type II diabetes mellitus with polyneuropathy	C109B-1	C109B11	713706002	3297353013		32	master only (1)
84981000006114	Type II diabetes mellitus with renal complications	C1090-1	C109011	420279001	3013392012		32	master only (1)
84991000006112	Type II diabetes mellitus with retinopathy	C1096-1	C109611	422034002	3699410014		32	master only (1)
85001000006117	Type II diabetes mellitus with ulcer	C1094-1	C109411	190389009	292581016		32	master only (1)
85011000006119	Type II diabetes mellitus without complication	C1099-1	C109911	313436004	457330012		32	master only (1)
169731000006118	Retinal abnormality - diabetes related	2BBF	2BBF.00	4855003	1230609013		27	master only (1)
223291000000111	Maturity onset diabetes	C1001-1	C100111	44054006	493774016		32	master only (1)
616351000006115	Diabetes mellitus with gangrene	C107-1	C107.11	422275004	2616612015		32	master only (1)
616451000006110	Diabetes mellitus with polyneuropathy	C106-3	C106.13	49455004	82373015		32	master only (1)
616491000006116	Diabetes mellitus, adult onset, + ophthalmic manifestation	C1051	C105100	422099009	2618233010		32	master only (1)
616551000006111	Diabetes mellitus, adult onset, with renal manifestation	C1041	C104100	420279001	2615535015		32	master only (1)
616571000006118	Diabetes mellitus, adult, + other specified manifestation	C10y1	C10y100	73211009	121589010		32	master only (1)
616601000006113	Diabetes mellitus, juvenile type, + ophthalmic manifestation	C1050	C105000	739681000	3537386015		32	master only (1)
616661000006114	Diabetes mellitus, juvenile type, with renal manifestation	C1040	C104000	421893009	2618211013		32	master only (1)
616671000006119	Diabetes mellitus, juvenile, + neurological manifestation	C1060	C106000	421468001	2618197018		32	master only (1)
616681000006116	Diabetes mellitus, juvenile, + other specified manifestation	C10y0	C10y000	73211009	121589010		32	master only (1)
616831000006118	Diabetes with gangrene	C107-2	C107.12	422275004	2616612015		32	master only (1)
772141000006118	Insulin dependent diab mell with peripheral angiopathy	C108G	C108G00	421895002	2618203015		32	master only (1)
