concept_id,concept_name,domain_id,vocabulary_id,standard_concept,ancestor_concept_id
2907674,5 ML furosemide 10 MG/ML Injection Box of 25 by Baxter,Drug,RxNorm Extension,S,956874
2907675,5 ML furosemide 10 MG/ML Injection Box of 5 by Baxter,Drug,RxNorm Extension,S,956874
2907676,5 ML furosemide 10 MG/ML Injection by Baxter,Drug,RxNorm Extension,S,956874
2907677,5 ML furosemide 10 MG/ML Injectable Solution Box of 25 by Baxter,Drug,RxNorm Extension,S,956874
2907678,5 ML furosemide 10 MG/ML Injectable Solution Box of 5 by Baxter,Drug,RxNorm Extension,S,956874
2909343,furosemide 40 MG Oral Tablet [Uremide] Box of 1000,Drug,RxNorm Extension,S,956874
2909344,furosemide 40 MG Oral Tablet [Uremide] Box of 90,Drug,RxNorm Extension,S,956874
2909345,furosemide 40 MG Oral Tablet [Uremide] Box of 60,Drug,RxNorm Extension,S,956874
2909346,furosemide 40 MG Oral Tablet [Uremide] Box of 50,Drug,RxNorm Extension,S,956874
2909347,furosemide 40 MG Oral Tablet [Uremide] Box of 30,Drug,RxNorm Extension,S,956874
2909348,furosemide 40 MG Oral Tablet Box of 1000 by Winthrop,Drug,RxNorm Extension,S,956874
2909349,furosemide 40 MG Oral Tablet Box of 1000 by Sanofi,Drug,RxNorm Extension,S,956874
2909350,furosemide 40 MG Oral Tablet Box of 250 by Winthrop,Drug,RxNorm Extension,S,956874
2909351,furosemide 40 MG Oral Tablet Box of 250 by Sanofi,Drug,RxNorm Extension,S,956874
2909352,furosemide 40 MG Oral Tablet Box of 100 by Winthrop,Drug,RxNorm Extension,S,956874
2909353,furosemide 40 MG Oral Tablet Box of 100 by APO,Drug,RxNorm Extension,S,956874
2909354,furosemide 40 MG Oral Tablet Box of 100 by Noumed,Drug,RxNorm Extension,S,956874
2909355,furosemide 40 MG Oral Tablet Box of 60 by Winthrop,Drug,RxNorm Extension,S,956874
2909356,furosemide 40 MG Oral Tablet Box of 60 by Sanofi,Drug,RxNorm Extension,S,956874
2909357,furosemide 40 MG Oral Tablet Box of 60,Drug,RxNorm Extension,S,956874
2909358,furosemide 40 MG Oral Tablet Box of 50 by Winthrop,Drug,RxNorm Extension,S,956874
2909359,furosemide 40 MG Oral Tablet Box of 30 by Winthrop,Drug,RxNorm Extension,S,956874
2909360,furosemide 40 MG Oral Tablet Box of 30 by Sanofi,Drug,RxNorm Extension,S,956874
2909361,furosemide 40 MG Oral Tablet by Winthrop,Drug,RxNorm Extension,S,956874
2909362,furosemide 40 MG Oral Tablet by APO,Drug,RxNorm Extension,S,956874
2909363,furosemide 40 MG Oral Tablet by Sanofi,Drug,RxNorm Extension,S,956874
2909364,furosemide 40 MG Oral Tablet by Noumed,Drug,RxNorm Extension,S,956874
2909365,furosemide 40 MG Oral Tablet [Frusemix] Box of 1000,Drug,RxNorm Extension,S,956874
2909366,furosemide 40 MG Oral Tablet [Frusemix] Box of 250,Drug,RxNorm Extension,S,956874
2909367,furosemide 40 MG Oral Tablet [Frusemix] Box of 100,Drug,RxNorm Extension,S,956874
2909368,furosemide 40 MG Oral Tablet [Frusemix] Box of 60,Drug,RxNorm Extension,S,956874
2909369,furosemide 40 MG Oral Tablet [Frusemix] Box of 50,Drug,RxNorm Extension,S,956874
2909370,furosemide 40 MG Oral Tablet [Frusemix] Box of 30,Drug,RxNorm Extension,S,956874
2909371,furosemide 40 MG Oral Tablet [Frusemix],Drug,RxNorm Extension,S,956874
2909372,furosemide 40 MG [Frusemix],Drug,RxNorm Extension,S,956874
2909373,furosemide 20 MG Oral Tablet Box of 1000,Drug,RxNorm Extension,S,956874
2909374,furosemide 20 MG Oral Tablet Box of 100 by APO,Drug,RxNorm Extension,S,956874
2909375,furosemide 20 MG Oral Tablet Box of 50 by Winthrop,Drug,RxNorm Extension,S,956874
2909376,furosemide 20 MG Oral Tablet Box of 50 by Sanofi,Drug,RxNorm Extension,S,956874
2909377,furosemide 20 MG Oral Tablet by Winthrop,Drug,RxNorm Extension,S,956874
2909378,furosemide 20 MG Oral Tablet by APO,Drug,RxNorm Extension,S,956874
2909379,furosemide 20 MG Oral Tablet by Sanofi,Drug,RxNorm Extension,S,956874
2909380,furosemide 20 MG Oral Tablet [Frusemix] Box of 1000,Drug,RxNorm Extension,S,956874
2909381,furosemide 20 MG Oral Tablet [Frusemix] Box of 100,Drug,RxNorm Extension,S,956874
2909382,furosemide 20 MG Oral Tablet [Frusemix] Box of 50,Drug,RxNorm Extension,S,956874
2909383,furosemide 20 MG Oral Tablet [Frusemix],Drug,RxNorm Extension,S,956874
2909384,furosemide 20 MG [Frusemix],Drug,RxNorm Extension,S,956874
2909385,furosemide 10 MG/ML Injection [Lasix] Box of 5,Drug,RxNorm Extension,S,956874
2909386,furosemide 10 MG/ML Injection Box of 10,Drug,RxNorm Extension,S,956874
2909387,furosemide 10 MG/ML Oral Solution by Winthrop,Drug,RxNorm Extension,S,956874
2909388,furosemide 10 MG/ML Oral Solution by Sanofi,Drug,RxNorm Extension,S,956874
2909389,furosemide 10 MG/ML Injectable Solution [Frusehexal] Box of 5,Drug,RxNorm Extension,S,956874
2909390,furosemide 10 MG/ML Injectable Solution [Frusehexal],Drug,RxNorm Extension,S,956874
2909391,furosemide Oral Tablet [Frusemix],Drug,RxNorm Extension,S,956874
2909392,furosemide Injectable Solution [Frusehexal],Drug,RxNorm Extension,S,956874
19003059,amiloride hydrochloride 2.5 MG / furosemide 20 MG Oral Tablet [Aridil],Drug,RxNorm,S,956874
19003060,amiloride hydrochloride 5 MG / furosemide 40 MG Oral Tablet [Aridil],Drug,RxNorm,S,956874
19003081,amiloride hydrochloride 10 MG / furosemide 80 MG Oral Tablet [Aridil],Drug,RxNorm,S,956874
19003520,furosemide 20 MG Oral Tablet [Rusyde],Drug,RxNorm,S,956874
19003541,furosemide 40 MG Oral Tablet [Rusyde],Drug,RxNorm,S,956874
19003542,furosemide 500 MG Oral Tablet [Lasix],Drug,RxNorm,S,956874
19003543,furosemide 4 MG/ML Oral Solution,Drug,RxNorm,S,956874
19003544,furosemide 1 MG/ML Oral Solution [Lasix],Drug,RxNorm,S,956874
19003604,furosemide 40 MG / potassium 8 MMOL Extended Release Oral Tablet,Drug,RxNorm,S,956874
19003605,furosemide 20 MG / potassium 10 MMOL Extended Release Oral Tablet,Drug,RxNorm,S,956874
19011100,furosemide 50 MG/ML Injectable Solution [Lasix],Drug,RxNorm,S,956874
19016738,amiloride hydrochloride 5 MG / furosemide 40 MG Oral Tablet [Frusemek],Drug,RxNorm,S,956874
19019042,furosemide 10 MG/ML Oral Solution,Drug,RxNorm,S,956874
19022069,furosemide 500 MG Oral Tablet,Drug,RxNorm,S,956874
19023740,furosemide 20 MG Oral Tablet [Aluzine],Drug,RxNorm,S,956874
19023791,furosemide 20 MG Oral Tablet [Lasix],Drug,RxNorm,S,956874
19023792,furosemide 40 MG Oral Tablet [Aluzine],Drug,RxNorm,S,956874
19023793,furosemide 40 MG Oral Tablet [Diuresal],Drug,RxNorm,S,956874
19023794,furosemide 40 MG Oral Tablet [Frusetic],Drug,RxNorm,S,956874
19023795,furosemide 40 MG Oral Tablet [Frumax],Drug,RxNorm,S,956874
19023796,furosemide 40 MG Oral Tablet [Dryptal],Drug,RxNorm,S,956874
19023797,furosemide 40 MG Oral Tablet [Froop],Drug,RxNorm,S,956874
19023798,furosemide 40 MG Oral Tablet [Frusid],Drug,RxNorm,S,956874
19023799,furosemide 40 MG Oral Tablet [Lasix],Drug,RxNorm,S,956874
19023800,furosemide 500 MG Oral Tablet [Aluzine],Drug,RxNorm,S,956874
19023821,furosemide 500 MG Oral Tablet [Dryptal],Drug,RxNorm,S,956874
19027327,furosemide 50 MG/ML Injectable Solution,Drug,RxNorm,S,956874
