concept_id,concept_name,domain_id,vocabulary_id,standard_concept,ancestor_concept_id
1970873,eplerenone 50 MG Oral Tablet Box of 100 by AAA-Pharma,Drug,RxNorm Extension,S,1309799
1970874,eplerenone 50 MG Oral Tablet [Inspra] Box of 100 by Originalis,Drug,RxNorm Extension,S,1309799
2034727,hydrochlorothiazide 25 MG / spironolactone 25 MG Oral Tablet [SPIROZIDE],Drug,RxNorm Extension,S,970250
2034728,hydrochlorothiazide 25 MG / spironolactone 25 MG Oral Tablet [SPIROZIDE] by Myungin,Drug,RxNorm Extension,S,970250
2034729,hydrochlorothiazide 25 MG / spironolactone 25 MG [SPIROZIDE],Drug,RxNorm Extension,S,970250
2034730,hydrochlorothiazide / spironolactone Oral Tablet [SPIROZIDE],Drug,RxNorm Extension,S,970250
2926983,eplerenone 50 MG Oral Tablet Box of 30 by APO,Drug,RxNorm Extension,S,1309799
2926984,eplerenone 50 MG Oral Tablet Box of 30 by Apotex,Drug,RxNorm Extension,S,1309799
2926985,eplerenone 50 MG Oral Tablet by APO,Drug,RxNorm Extension,S,1309799
2926986,eplerenone 50 MG Oral Tablet by Apotex,Drug,RxNorm Extension,S,1309799
2926987,eplerenone 25 MG Oral Tablet Box of 30 by APO,Drug,RxNorm Extension,S,1309799
2926988,eplerenone 25 MG Oral Tablet Box of 30 by Apotex,Drug,RxNorm Extension,S,1309799
2926989,eplerenone 25 MG Oral Tablet by APO,Drug,RxNorm Extension,S,1309799
2926990,eplerenone 25 MG Oral Tablet by Apotex,Drug,RxNorm Extension,S,1309799
2936307,spironolactone 25 MG Oral Tablet by Mylan,Drug,RxNorm Extension,S,970250
2936514,spironolactone 100 MG Oral Tablet Box of 100 by Mylan,Drug,RxNorm Extension,S,970250
2936515,spironolactone 100 MG Oral Tablet by Mylan,Drug,RxNorm Extension,S,970250
2936516,spironolactone 25 MG Oral Tablet Box of 100 by Mylan,Drug,RxNorm Extension,S,970250
19003550,spironolactone 25 MG Oral Tablet [Spirolone],Drug,RxNorm,S,970250
19003571,spironolactone 50 MG Oral Tablet [Spirolone],Drug,RxNorm,S,970250
19003572,spironolactone 100 MG Oral Tablet [Spirospare],Drug,RxNorm,S,970250
19003573,spironolactone 1 MG/ML Oral Suspension,Drug,RxNorm,S,970250
19003574,spironolactone 2 MG/ML Oral Suspension,Drug,RxNorm,S,970250
19003575,spironolactone 5 MG/ML Oral Suspension,Drug,RxNorm,S,970250
19003576,spironolactone 10 MG/ML Oral Suspension,Drug,RxNorm,S,970250
19003577,spironolactone 100 MG Oral Capsule,Drug,RxNorm,S,970250
19020269,spironolactone 50 MG [Aldactone],Drug,RxNorm,S,970250
19020270,spironolactone 25 MG [Aldactone],Drug,RxNorm,S,970250
19020291,spironolactone 100 MG [Aldactone],Drug,RxNorm,S,970250
19023825,spironolactone 50 MG Oral Tablet [Diatensec],Drug,RxNorm,S,970250
19023826,spironolactone 50 MG Oral Tablet [Laractone],Drug,RxNorm,S,970250
19023827,spironolactone 50 MG Oral Tablet [Aldactone],Drug,RxNorm,S,970250
19023828,spironolactone 50 MG Oral Tablet [Spiroctan],Drug,RxNorm,S,970250
19023829,spironolactone 25 MG Oral Tablet [Laractone],Drug,RxNorm,S,970250
19023830,spironolactone 25 MG Oral Tablet [Aldactone],Drug,RxNorm,S,970250
19023861,spironolactone 25 MG Oral Tablet [Spirospare],Drug,RxNorm,S,970250
19023862,spironolactone 25 MG Oral Tablet [Spiretic],Drug,RxNorm,S,970250
19023863,spironolactone 25 MG Oral Tablet [Spiroctan],Drug,RxNorm,S,970250
19023864,spironolactone 100 MG Oral Tablet [Laractone],Drug,RxNorm,S,970250
19023865,spironolactone 100 MG Oral Tablet [Aldactone],Drug,RxNorm,S,970250
19023866,spironolactone 100 MG Oral Tablet [Spiretic],Drug,RxNorm,S,970250
19023867,spironolactone 100 MG Oral Tablet [Spirolone],Drug,RxNorm,S,970250
19024932,spironolactone 100 MG Oral Capsule [Spiroctan],Drug,RxNorm,S,970250
19030022,hydrochlorothiazide 50 MG / spironolactone 50 MG [Aldactazide],Drug,RxNorm,S,970250
19036703,spironolactone 25 MG Oral Tablet [Spironol],Drug,RxNorm,S,970250
19037488,hydrochlorothiazide 25 MG / spironolactone 25 MG Oral Tablet [Aldactazide],Drug,RxNorm,S,970250
19037489,hydrochlorothiazide 25 MG / spironolactone 25 MG Oral Tablet [Spironolactone Plus],Drug,RxNorm,S,970250
19037521,hydrochlorothiazide 50 MG / spironolactone 50 MG Oral Tablet [Aldactazide],Drug,RxNorm,S,970250
19062609,hydroflumethiazide 25 MG / spironolactone 25 MG Oral Tablet,Drug,RxNorm,S,970250
19062610,hydroflumethiazide 50 MG / spironolactone 50 MG Oral Tablet,Drug,RxNorm,S,970250
19063475,buthiazide 10 MG / spironolactone 100 MG Oral Tablet,Drug,RxNorm,S,970250
19079658,spironolactone 25 MG Oral Tablet,Drug,RxNorm,S,970250
19081509,hydrochlorothiazide 25 MG / spironolactone 25 MG [Spironolactone Plus],Drug,RxNorm,S,970250
19082546,spironolactone 50 MG,Drug,RxNorm,S,970250
19099952,spironolactone 1 MG/ML,Drug,RxNorm,S,970250
19099953,spironolactone 2 MG/ML,Drug,RxNorm,S,970250
19099954,spironolactone 5 MG/ML,Drug,RxNorm,S,970250
19099955,spironolactone 10 MG/ML,Drug,RxNorm,S,970250
19102208,eplerenone 50 MG Oral Tablet [Inspra],Drug,RxNorm,S,1309799
19102209,eplerenone 25 MG Oral Tablet [Inspra],Drug,RxNorm,S,1309799
19102210,eplerenone 100 MG Oral Tablet [Inspra],Drug,RxNorm,S,1309799
19103649,spironolactone 75 MG Oral Capsule,Drug,RxNorm,S,970250
19103650,spironolactone 50 MG Oral Capsule,Drug,RxNorm,S,970250
19103703,buthiazide 10 MG / spironolactone 100 MG Oral Capsule,Drug,RxNorm,S,970250
19106299,buthiazide 5 MG / spironolactone 50 MG Oral Tablet,Drug,RxNorm,S,970250
19106647,spironolactone 75 MG Oral Tablet,Drug,RxNorm,S,970250
19106648,hydrochlorothiazide 100 MG / spironolactone 50 MG Oral Tablet,Drug,RxNorm,S,970250
19107515,althiazide 15 MG / spironolactone 25 MG Oral Tablet,Drug,RxNorm,S,970250
19107523,furosemide 20 MG / spironolactone 50 MG Oral Tablet,Drug,RxNorm,S,970250
19107524,furosemide 20 MG / spironolactone 100 MG Oral Tablet,Drug,RxNorm,S,970250
19107538,bendroflumethiazide 50 MG / spironolactone 2.5 MG Oral Tablet,Drug,RxNorm,S,970250
19107539,bendroflumethiazide 100 MG / spironolactone 5 MG Oral Tablet,Drug,RxNorm,S,970250
19112048,spironolactone 75 MG,Drug,RxNorm,S,970250
19112051,spironolactone 2.5 MG,Drug,RxNorm,S,970250
19112054,spironolactone 5 MG,Drug,RxNorm,S,970250
19115800,spironolactone 25 MG [Spirolone],Drug,RxNorm,S,970250
19115801,spironolactone 50 MG [Spirolone],Drug,RxNorm,S,970250
19115802,spironolactone 100 MG [Spirospare],Drug,RxNorm,S,970250
19117245,spironolactone 50 MG [Diatensec],Drug,RxNorm,S,970250
19117246,spironolactone 50 MG [Laractone],Drug,RxNorm,S,970250
19117247,spironolactone 50 MG [Spiroctan],Drug,RxNorm,S,970250
19117248,spironolactone 25 MG [Laractone],Drug,RxNorm,S,970250
19117249,spironolactone 25 MG [Spirospare],Drug,RxNorm,S,970250
19117250,spironolactone 25 MG [Spiretic],Drug,RxNorm,S,970250
19117251,spironolactone 25 MG [Spiroctan],Drug,RxNorm,S,970250
19117252,spironolactone 100 MG [Laractone],Drug,RxNorm,S,970250
19117253,spironolactone 100 MG [Spiretic],Drug,RxNorm,S,970250
19117254,spironolactone 100 MG [Spirolone],Drug,RxNorm,S,970250
19117504,spironolactone 100 MG [Spiroctan],Drug,RxNorm,S,970250
19118480,spironolactone 25 MG [Spironol],Drug,RxNorm,S,970250
19118542,hydrochlorothiazide 25 MG / spironolactone 25 MG [Aldactazide],Drug,RxNorm,S,970250
19121067,eplerenone 50 MG [Inspra],Drug,RxNorm,S,1309799
19121068,eplerenone 25 MG [Inspra],Drug,RxNorm,S,1309799
19121069,eplerenone 100 MG [Inspra],Drug,RxNorm,S,1309799
21024091,Spironolactone 0.4 MG/ML,Drug,RxNorm Extension,S,970250
21024092,Spironolactone 0.4 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21024094,Spironolactone 50 MG Oral Tablet by Alliance,Drug,RxNorm Extension,S,970250
21024095,Spironolactone 50 MG Oral Tablet by Actavis,Drug,RxNorm Extension,S,970250
21024096,Spironolactone 50 MG Oral Tablet [Aldactone] Box of 100,Drug,RxNorm Extension,S,970250
21024098,Spironolactone 0.66 MG/ML Oral Solution,Drug,RxNorm Extension,S,970250
21024099,Spironolactone 100 MG Oral Tablet by Almus,Drug,RxNorm Extension,S,970250
21024100,Spironolactone 100 MG Oral Tablet Box of 28 by Waymade,Drug,RxNorm Extension,S,970250
21024101,Spironolactone 100 MG Oral Tablet Box of 30 by DE,Drug,RxNorm Extension,S,970250
21024102,Spironolactone 100 MG Oral Tablet [Aldactone] by Waymade,Drug,RxNorm Extension,S,970250
21024103,Spironolactone 100 MG Oral Tablet [Aldactone] Box of 60,Drug,RxNorm Extension,S,970250
21024104,Spironolactone 100 MG Oral Tablet [Aldactone] Box of 60 by Waymade,Drug,RxNorm Extension,S,970250
21024105,Spironolactone 1.66 MG/ML Oral Solution,Drug,RxNorm Extension,S,970250
21024106,Spironolactone 0.8 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21024107,Spironolactone 25 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21024108,Spironolactone 20 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
