medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
299342019	[X]Other lacunar syndromes	Fyu56	Fyu5600	230698000	345651012		32	master only (1)
300287010	Intracerebral haemorrhage NOS	G61z	G61z.00	274100004	2819959010		32	master only (1)
300290016	Other and unspecified intracranial haemorrhage	G62	G62..00	62914000	104563015		32	master only (1)
300374018	Other cerebrovascular disease	G67	G67..00	62914000	104563015		32	master only (1)
300401011	Other cerebrovascular disease OS	G67y	G67y.00	62914000	104563015		32	master only (1)
300402016	Other cerebrovascular disease NOS	G67z	G67z.00	62914000	104563015		32	master only (1)
300403014	Late effects of cerebrovascular disease	G68	G68..00	195239002	300403014		32	master only (1)
300418010	Other specified cerebrovascular disease	G6y	G6y..00	62914000	104563015		32	master only (1)
300419019	Cerebrovascular disease NOS	G6z	G6z..00	62914000	104563015		32	master only (1)
300939013	[X]Other intracerebral haemorrhage	Gyu62	Gyu6200	274100004	409860011		32	master only (1)
300944018	[X]Other specified cerebrovascular diseases	Gyu67	Gyu6700	62914000	104563015		32	master only (1)
300956017	[X]Intracerebral haemorrhage in hemisphere, unspecified	Gyu6F	Gyu6F00	274100004	409860011		32	master only (1)
320836010	Subdural haemorrhage following injury	S62-3	S62..13	209987007	320836010		32	master only (1)
320852013	Cerebral haemorrhage following injury NOS	S62z	S62z.00	450418003	2916363013		32	master only (1)
320853015	Other cerebral haemorrhage following injury	S63	S63..00	450418003	2916363013		32	master only (1)
320897016	Other cerebral haemorrhage following injury NOS	S63z	S63z.00	450418003	2916363013		32	master only (1)
345121017	Vascular parkinsonism	F124	F124.00	230296006	345121017		32	master only (1)
391042012	Subarachnoid haemorrhage following injury	S62-2	S62..12	450375008	2915309017		32	master only (1)
395783012	Transient ischaemic attack	G65-2	G65..12	266257000	395783012		32	master only (1)
411518010	H/O: CVA	14A7-1	14A7.11	275526006	411518010		32	master only (1)
413750011	Central post-stroke pain	1M4	1M4..00	277286006	413750011		27	master only (1)
449935012	Admission to stroke unit	8Hd6	8Hd6.00	306803007	449935012		40	master only (1)
505324014	Traumatic cerebral haemorrhage	S62-4	S62..14	450418003	2916058017		32	master only (1)
1227591017	[V]Personal history of stroke	ZV125-1	ZV12511	275526006	2476091017		32	master only (1)
2476091017	H/O: stroke	14A7-2	14A7.12	275526006	2476091017		32	master only (1)
30981000006112	Oth cerebral h'ge inj no open intracran wnd+unspec consc	S6300	S630000	450418003	2915288012		32	master only (1)
35791000006117	Other cerebral h'ge after injury + open intracranial wound	S631	S631.00	450418003	2915288012		32	master only (1)
35801000006116	Other cerebral h'ge after injury no open intracranial wound	S630	S630.00	450418003	2915288012		32	master only (1)
39691000006110	Oth cereb h'ge inj + open intracran wnd+>24hr LOC + recovery	S6314	S631400	450418003	2915288012		32	master only (1)
39701000006110	Oth cereb h'ge inj + open intracran wnd+>24hr LOC -restored	S6315	S631500	450418003	2915288012		32	master only (1)
39711000006113	Oth cereb h'ge inj + open intracran wnd+concussion unspec	S631z	S631z00	450418003	2915288012		32	master only (1)
39721000006117	Oth cereb h'ge inj + open intracran wnd+LOC unspec duration	S6316	S631600	450418003	2915288012		32	master only (1)
39731000006119	Oth cereb h'ge inj no open intracran wnd+>24hr LOC +recovery	S6304	S630400	450418003	2915288012		32	master only (1)
39741000006112	Oth cereb h'ge inj no open intracran wnd+>24hr LOC -restored	S6305	S630500	450418003	2915288012		32	master only (1)
39751000006114	Oth cereb h'ge inj no open intracran wnd+concussion unspec	S630z	S630z00	450418003	2915288012		32	master only (1)
39761000006111	Oth cereb h'ge inj no open intracran wnd+LOC unspec duration	S6306	S630600	450418003	2915288012		32	master only (1)
39771000006116	Oth cerebral h'ge inj + open intracran wnd + unspec consc	S6310	S631000	450418003	2915288012		32	master only (1)
39781000006118	Oth cerebral h'ge inj + open intracran wnd+<1hr loss consc	S6312	S631200	450418003	2915288012		32	master only (1)
39791000006115	Oth cerebral h'ge inj + open intracran wnd+1-24hr loss consc	S6313	S631300	450418003	2915288012		32	master only (1)
39801000006119	Oth cerebral h'ge inj + open intracranial wnd+no loss consc	S6311	S631100	450418003	2915288012		32	master only (1)
39811000006116	Oth cerebral h'ge inj no open intracran wnd+<1hr loss consc	S6302	S630200	450418003	2915288012		32	master only (1)
39821000006112	Oth cerebral h'ge inj no open intracran wnd+1-24hr LOC	S6303	S630300	450418003	2915288012		32	master only (1)
39831000006110	Oth cerebral h'ge inj no open intracranial wnd+no loss consc	S6301	S630100	450418003	2915288012		32	master only (1)
122371000006118	Stroke due to intracerebral haemorrhage	G61-2	G61..12	274100004	409860011		32	master only (1)
122401000006115	Stroke unspecified	G66-2	G66..12	230690007	345637012		32	master only (1)
123311000006115	Subarach h'ge inj no open intracran wnd + concussion unspec	S620z	S620z00	28048009	46957015		32	master only (1)
123321000006111	Subarach h'ge inj no open intracran wnd+>24hrs LOC-restored	S6205	S620500	28048009	46957015		32	master only (1)
123331000006114	Subarach h'ge inj no open intracran wnd+LOC unspec duration	S6206	S620600	28048009	46957015		32	master only (1)
123391000006113	Subarachnoid h'ge inj no open intracran wnd+<1hr loss consc	S6202	S620200	28048009	46957015		32	master only (1)
123401000006110	Subarachnoid h'ge inj no open intracran wnd+>24 LOC+recovery	S6204	S620400	28048009	46957015		32	master only (1)
123411000006113	Subarachnoid h'ge inj no open intracran wnd+no loss consc	S6201	S620100	28048009	46957015		32	master only (1)
123421000006117	Subarachnoid h'ge inj no open intracran wound + 1-24hr LOC	S6203	S620300	28048009	46957015		32	master only (1)
123431000006119	Subarachnoid h'ge inj no open intracran wound + unspec consc	S6200	S620000	28048009	46957015		32	master only (1)
124121000006111	Subdural h'ge inj no open intracran wnd+>24hr LOC -restored	S6225	S622500	209947002	320752018		32	master only (1)
124131000006114	Subdural h'ge inj no open intracran wnd+1-24hr loss consc	S6223	S622300	209947002	320752018		32	master only (1)
124141000006116	Subdural h'ge inj no open intracran wnd+LOC unspec duration	S6226	S622600	209947002	320752018		32	master only (1)
124151000006119	Subdural h'ge inj no open intracran wound+concussion unspec	S622z	S622z00	209947002	320752018		32	master only (1)
124161000006117	Subdural h'ge inj no open intracranial wnd + unspec consc	S6220	S622000	209947002	320752018		32	master only (1)
124171000006112	Subdural h'ge inj no open intracranial wnd+>24 LOC +recovery	S6224	S622400	209947002	320752018		32	master only (1)
124181000006110	Subdural h'ge inj no open intracranial wound+<1hr loss consc	S6222	S622200	209947002	320752018		32	master only (1)
124191000006113	Subdural h'ge inj no open intracranial wound+no loss consc	S6221	S622100	209947002	320752018		32	master only (1)
126531000006111	Stenosis, carotid artery	G631-1	G631.11	64586002	107332010		32	master only (1)
149701000006118	Sequelae/other + unspecified cerebrovascular diseases	G68W	G68W.00	195239002	300403014		32	master only (1)
213421000006113	Precerebral atherosclerosis	G670-1	G670.11	55382008	92070010		32	master only (1)
407291000006117	[X]Other cerebrovascular disorders in diseases CE	Gyu6A	Gyu6A00	62914000	104563015		32	master only (1)
416991000006112	[X]Other transnt cerebral ischaemic attacks+related syndroms	Fyu55	Fyu5500	266257000	395788015		32	master only (1)
417171000006111	[X]Other vascular syndroms/brain in cerebrovasculr diseases	Fyu57	Fyu5700	62914000	104563015		32	master only (1)
426231000006114	[X]Sequelae of other nontraumatic intracranial haemorrhage	Gyu6B	Gyu6B00	363302008	482447013		32	master only (1)
426481000006114	[X]Sequelae/other + unspecified cerebrovascular diseases	Gyu6D	Gyu6D00	195239002	300403014		32	master only (1)
605471000006112	CVA - cerebrovascular accid due to intracerebral haemorrhage	G61-1	G61..11	274100004	409859018		32	master only (1)
605491000006113	CVA - Cerebrovascular accident unspecified	G66-3	G66..13	230690007	345635016		32	master only (1)
605501000006117	CVA unspecified	G66-1	G66..11	230690007	345637012		32	master only (1)
660121000006113	Extradural haemorrhage following injury	S62-1	S62..11	450410005	2915482010		32	master only (1)
744921000006116	Intracerebral haemorrhage in hemisphere, unspecified	G61X	G61X.00	274100004	409860011		32	master only (1)
748941000006115	Left sided intracerebral haemorrhage, unspecified	G61X0	G61X000	274100004	409859018		32	master only (1)
884421000006119	Cerebral haemorrhage	G6-99	G6...99	274100004	884421000006119		32	master only (1)
884441000006114	Subdural haemorrhage	G621-99	G621.99	195176009	884441000006114		32	master only (1)
884541000006110	Cerebral arteriosclerosis	G670-99	G670.99	55382008	884541000006110		32	master only (1)
884561000006114	Cerebrovasc. dis. late effects	G68-99	G68..99	195239002	884561000006114		32	master only (1)
988951000006117	Transient Ischaemic Attacks	G65-99	G65..99	266257000	988951000006117		32	master only (1)
989201000006117	Cerebral haemorrhage	G61-99	G61..99	274100004	989201000006117		32	master only (1)
989211000006119	Cerebral haemorrhage NOS	G61-98	G61..98	274100004	989211000006119		32	master only (1)
991811000006115	Subdural h'ge after injury	S628-99	S628.99	209987007	991811000006115		32	master only (1)
1160471000000111	Stroke 6 month review	662M1	662M100	519751000000106	1160471000000111		1	master only (1)
2126181000000114	Stroke annual review	662e-1	662e.11	699270006	2983500010		1	master only (1)
2950231000006111	Subarachnoid haemorrhage following injury without open intracranial wound	^ESCTSU295023		28048009	2950231000006111		32	master only (1)
3522691000006112	Cerebrovascular lesion	^ESCTCE352269		62914000	104566011		32	master only (1)
3522701000006112	CVD - Cerebrovascular disease	^ESCTCV352270		62914000	499414018		32	master only (1)
3550511000006115	Carotid artery narrowing	^ESCTCA355051		64586002	107333017		32	master only (1)
3662311000006113	Thrombosis of cerebral arteries	^ESCTTH366231		71444005	118690018		32	master only (1)
3662321000006117	Cerebral arterial thrombosis	^ESCTCE366232		71444005	118691019		32	master only (1)
3662331000006119	CT - Cerebral thrombosis	^ESCTCT366233		71444005	1233388010		32	master only (1)
3930461000006113	Momentary blindness	^ESCTMO393046		88032003	145926011		32	master only (1)
3930471000006118	AF - Amaurosis fugax	^ESCTAF393047		88032003	507856014		32	master only (1)
3930481000006115	AFx - Amaurosis fugax	^ESCTAF393048		88032003	507857017		32	master only (1)
3930491000006117	Transient monocular blindness	^ESCTTR393049		88032003	507858010		32	master only (1)
3930501000006113	Amaurosis fugax (one sided temporary vision loss)	^ESCTAM393050		88032003	2966609017		32	master only (1)
4193661000006110	Chronic cerebral ischemia	^ESCTCH419366		111298007	178529015		32	master only (1)
4540591000006113	History of transient ischemic attack	^ESCTHI454059		161511000	2986735018		32	master only (1)
4777911000006112	Subdural hemorrhage - nontraumatic	^ESCTSU477791		195176009	300293019		32	master only (1)
4777931000006118	Non-traumatic subdural hemorrhage	^ESCTNO477793		195176009	2469434017		32	master only (1)
4777941000006111	Non-traumatic intracranial subdural hemorrhage	^ESCTNO477794		195176009	2913068019		32	master only (1)
4777951000006113	Non-traumatic intracranial subdural haemorrhage	^ESCTNO477795		195176009	2913186018		32	master only (1)
4778121000006118	Intermittent cerebral ischemia	^ESCTIN477812		195206000	300354013		32	master only (1)
4778181000006119	Left sided cerebral hemisphere cerebrovascular accident	^ESCTLE477818		195216008	300369014		32	master only (1)
4778311000006112	Sequelae of cerebrovascular disease	^ESCTSE477831		195239002	300404015		32	master only (1)
4854141000006115	Closed traumatic subdural hemorrhage	^ESCTCL485414		209947002	320753011		32	master only (1)
4854151000006118	Closed traumatic subdural intracranial hemorrhage	^ESCTCL485415		209947002	2912529013		32	master only (1)
4854161000006116	Closed traumatic subdural intracranial haemorrhage	^ESCTCL485416		209947002	2912797018		32	master only (1)
4854171000006111	Subdural hemorrhage following injury without open intracranial wound	^ESCTSU485417		209947002	2915477015		32	master only (1)
4854181000006114	Subdural haemorrhage following injury without open intracranial wound	^ESCTSU485418		209947002	2915859018		32	master only (1)
4854331000006110	Traumatic subdural hemorrhage	^ESCTTR485433		209987007	320837018		32	master only (1)
4854341000006117	Subdural hemorrhage following injury	^ESCTSU485434		209987007	320838011		32	master only (1)
4854351000006115	Traumatic subdural intracranial hemorrhage	^ESCTTR485435		209987007	2912507014		32	master only (1)
4854361000006118	Traumatic subdural intracranial haemorrhage	^ESCTTR485436		209987007	2912530015		32	master only (1)
5010981000006119	Stroke	^ESCTST501098		230690007	345636015		32	master only (1)
5011161000006115	Lacunar stroke	^ESCTLA501116		230698000	345652017		32	master only (1)
5011171000006110	LACI - Lacunar infarction	^ESCTLA501117		230698000	345653010		32	master only (1)
5011181000006113	LI - Lacunar infarction	^ESCTLI501118		230698000	345654016		32	master only (1)
5459221000006115	Traumatic cranial subdural haematoma	^ESCTTR545922		262952002	391036013		32	master only (1)
5459231000006117	Traumatic intracranial subdural haematoma	^ESCTTR545923		262952002	391037016		32	master only (1)
5459241000006110	Traumatic intracranial subdural hematoma	^ESCTTR545924		262952002	391038014		32	master only (1)
5459251000006112	Traumatic cranial subdural hematoma	^ESCTTR545925		262952002	391039018		32	master only (1)
5459261000006114	Traumatic subdural haematoma	^ESCTTR545926		262952002	2913152010		32	master only (1)
5459271000006119	Traumatic intracranial subarachnoid haemorrhage	^ESCTTR545927		262955000	391048011		32	master only (1)
5459281000006116	Traumatic cranial subarachnoid hemorrhage	^ESCTTR545928		262955000	391046010		31	master only (1)
5459291000006118	Traumatic intracranial subarachnoid hemorrhage	^ESCTTR545929		262955000	391047018		31	master only (1)
5459301000006117	Traumatic cranial subarachnoid haemorrhage	^ESCTTR545930		262955000	391049015		31	master only (1)
5492171000006112	TIA	^ESCTTI549217		266257000	395781014		32	master only (1)
5492181000006110	Temporary cerebral vascular dysfunction	^ESCTTE549218		266257000	395782019		32	master only (1)
5492201000006111	TIA - Transient ischaemic attack	^ESCTTI549220		266257000	395784018		32	master only (1)
5492221000006118	Transient ischemic attack	^ESCTTR549222		266257000	395787013		32	master only (1)
5560161000006111	Intracerebral hemorrhage (ICH)	^ESCTIN556016		274100004	2819960017		32	master only (1)
5597041000006114	CPSP - Central post-stroke pain	^ESCTCP559704		277286006	413749011		27	master only (1)
5960821000006117	Referral to stroke service	^ESCTRE596082		306802002	449934011		32	master only (1)
5974521000006116	History of stroke in last year	^ESCTHI597452		308067002	2986393012		32	master only (1)
6053291000006112	Traumatic subdural hematoma without open intracranial wound	^ESCTTR605329		315046005	459512013		32	master only (1)
6242341000006111	Sequelae of neurological disorders	^ESCTSE624234		363302008	482447013		32	master only (1)
6837371000006110	Stroke / transient ischemic attack referral	^ESCTST683737		413124000	2469839018		40	master only (1)
6837381000006113	Stroke/transient ischemic attack referral	^ESCTST683738		413124000	2694676019		40	master only (1)
6880461000006115	Stroke/transient ischemic attack monitoring second letter	^ESCTST688046		415629007	2534211013		37	master only (1)
6880501000006115	Stroke/transient ischemic attack monitoring third letter	^ESCTST688050		415631003	2534195014		37	master only (1)
6901471000006110	Stroke/transient ischemic attack monitoring verbal invitation	^ESCTST690147		417059002	2549606015		37	master only (1)
6907881000006118	Hemorrhagic stroke monitoring	^ESCTHE690788		417506008	2548553019		1	master only (1)
7377831000006117	Traumatic hemorrhage into subarachnoid space of neuraxis	^ESCTTR737783		450375008	2915309017		32	master only (1)
7378271000006116	Intracranial haemorrhage following injury	^ESCTIN737827		450410005	2915426010		32	master only (1)
7378281000006118	Intracranial hemorrhage following injury	^ESCTIN737828		450410005	2915467017		32	master only (1)
7378301000006119	Traumatic intracranial hemorrhage	^ESCTTR737830		450410005	2915928019		32	master only (1)
7378401000006111	Traumatic intracerebral hemorrhage	^ESCTTR737840		450418003	2915288012		32	master only (1)
7378411000006114	Cerebral hemorrhage following injury	^ESCTCE737841		450418003	2915447014		32	master only (1)
7378421000006118	Traumatic intracerebral haemorrhage	^ESCTTR737842		450418003	2915664016		32	master only (1)
7378441000006113	Traumatic cerebral hemorrhage	^ESCTTR737844		450418003	2916150010		32	master only (1)
7519441000006112	Cerebrovascular accident annual review	^ESCTCE751944		699270006	2983532010		1	master only (1)
8026451000006117	DNA (did not attend) stroke clinic	^ESCTDN802645		88601000000107	1681231000000118		37	master only (1)
8195421000006116	Cerebrovascular accident (CVA) 6 month review	^ESCTCE819542		519751000000106	1160481000000113		1	master only (1)
8195431000006118	Stroke/cerebrovascular accident 6 month review	^ESCTST819543		519751000000106	1550221000000113		1	master only (1)
11903571000006110	Stroke due to intracerebral haemorrhage	^ESCT1190357		274100004	11903571000006110		32	master only (1)
11919571000006110	[X]Other intracerebral haemorrhage	^ESCT1191957		274100004	11919571000006110		32	master only (1)
