icd_concept_id,concept_code,concept_id,icd_description,points,concept_name,domain_id,vocabulary_id
45595474,Y95,440005,Nosocomial condition,1.2,Complication of medical care,Condition,SNOMED
45592553,S09,375415,Other and unspecified injuries of head,1.2,Injury of head,Condition,SNOMED
45755639,R45,4025215,"Symptoms and signs involving emotional
state",1.2,Emotional state finding,Observation,SNOMED
45562092,G45,373503,"Transient cerebral ischaemic attacks and
related syndromes",1.2,Transient cerebral ischemia,Condition,SNOMED
45585853,Z74,4022076,Problems related to care-provider dependency,1.1,Patient dependence on care provider,Observation,SNOMED
45562836,M79,4244662,"Other soft tissue disorders, not elsewhere
classified",1.1,Disorder of musculoskeletal system,Condition,SNOMED
45575895,W06,436882,Fall involving bed,1.1,Fall from bed,Observation,SNOMED
45582756,S01,4243161,Open wound of head,1.1,Open wound of head,Condition,SNOMED
45532809,A04,193402,Other bacterial intestinal infections,1.1,Bacterial enteritis of intestine,Condition,SNOMED
45605189,A09,201618,"Diarrhoea and gastroenteritis of presumed
infectious origin",1.1,Disorder of intestine,Condition,SNOMED
45548107,J18,255848,"Pneumonia, organism unspecified",1.1,Pneumonia,Condition,SNOMED
45755429,J69,4187218,Pneumonitis due to solids and liquids,1,Pneumonitis caused by inhaled substance,Condition,SNOMED
45755640,R47,435642,"Speech disturbances, not elsewhere classified",1,Disturbance in speech,Condition,SNOMED
45591049,E55,436070,Vitamin D deficiency,1,Vitamin D deficiency,Condition,SNOMED
45581091,Z93,1340204,Artificial opening status,1,History of event,Observation,OMOP Extension
45534421,R02,439928,"Gangrene, not elsewhere classified",1,Gangrenous disorder,Condition,SNOMED
45755630,R63,4022569,"Symptoms and signs concerning food and
fluid intake",0.9,Eating / feeding / drinking finding,Observation,SNOMED
45581753,H91,377889,Other hearing loss,0.9,Hearing loss,Condition,SNOMED
45756250,W10,441749,Fall on and from stairs and steps,0.9,Fall on or from stairs or steps,Observation,SNOMED
45756243,W01,437175,"Fall on same level from slipping, tripping and
stumbling",0.9,"Fall on same level from slipping, tripping or stumbling",Observation,SNOMED
45533007,E05,4142479,Thyrotoxicosis [hyperthyroidism],0.9,Hyperthyroidism,Condition,SNOMED
45562714,M41,72418,Scoliosis,0.9,Scoliosis deformity of spine,Condition,SNOMED
45573013,R13,31317,Dysphagia,0.8,Dysphagia,Condition,SNOMED
45756557,Z99,437758,"Dependence on enabling machines and
devices",0.8,Dependence on enabling machine or device,Observation,SNOMED
45756102,U80,4249827,"Agent resistant to penicillin and related
antibiotics",0.8,Infection caused by antimicrobial resistant bacteria,Condition,SNOMED
45577360,M80,40480160,Osteoporosis with pathological fracture,0.8,Osteoporotic fracture,Condition,SNOMED
45567332,K92,4201745,Other diseases of digestive system,0.8,Disorder of digestive system,Condition,SNOMED
45543186,I63,443454,Cerebral Infarction,0.8,Cerebral infarction,Condition,SNOMED
45587237,N20,4148260,Calculus of kidney and ureter,0.7,Calculus of kidney and ureter,Condition,SNOMED
45581401,F10,37164793,"Mental and behavioural disorders due to use
of alcohol",0.7,Organic mental disorder caused by ethanol,Condition,SNOMED
45605063,Y84,442019,"Other medical procedures as the cause of
abnormal reaction of the patient",0.7,Complication of procedure,Condition,SNOMED
45577775,R00,4262562,Abnormalities of heart beat,0.7,Abnormal heart beat,Condition,SNOMED
45586665,J22,4307774,Unspecified acute lower respiratory infection,0.7,Acute lower respiratory tract infection,Condition,SNOMED
45581066,Z73,43020485,"Problems related to life-management
difficulty",0.6,Problem related to life management difficulty,Observation,SNOMED
45587527,R79,436230,Other abnormal findings of blood chemistry,0.6,Blood chemistry outside reference range,Measurement,SNOMED
45542488,Z91,1340204,"Personal history of risk-factors, not elsewhere
classified",0.5,History of event,Observation,OMOP Extension
45607470,S51,4053599,Open wound of forearm,0.5,Open wound of forearm,Condition,SNOMED
45595904,F32,3656234,Depressive episode,0.5,Depressive episode,Observation,SNOMED
45562734,M48,4157453,Spinal stenosis (secondary code only),0.5,Disorder of joint of spine,Condition,SNOMED
45537988,E83,438721,Disorders of mineral metabolism,0.4,Disorder of mineral metabolism,Condition,SNOMED
45596490,M15,75897,Polyarthrosis,0.4,Polyarthropathy,Condition,SNOMED
45537924,D64,439777,Other anaemias,0.4,Anemia,Condition,SNOMED
45596365,L08,443600,"Other local infections of skin and
subcutaneous tissue",0.4,Localized infection of skin AND/OR subcutaneous tissue,Condition,SNOMED
45539317,R11,27674,Nausea and vomiting,0.3,Nausea and vomiting,Condition,SNOMED
45586724,K52,4297887,Other noninfective gastroenteritis and colitis,0.3,Disorder of digestive organ,Condition,SNOMED
45568138,R50,437663,Fever of unknown origin,0.1,Fever,Condition,SNOMED
