MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
278252016	Injection into joint NEC	7K6Z3	7K6Z300	27813003	483678012		32
400185011	Osteoarthritis NOS, of the hand	N05z4	N05z400	22193007	37256012		32
116082011	Rheumatoid arthritis	N040	N040.00	69896004	116082011		32
277496015	Knee joint operations	7K3	7K3..00	179342005	277496015		32
400266016	Spondylosis and allied disorders	N11	N11..00	267969005	400266016		32
493021000006115	Arthropathy NOS	N06z	N06z.00	399269003	1778721018		32
310024016	Osteoarthritis NOS, of knee	N05zL	N05zL00	239873007	359420013		32
80709010	Gouty arthritis	N023	N023.00	48440001	80709010		32
41261000006115	Osteoarthritis and allied disorders	N05	N05..00	396275006	1776248011		32
261883016	Plain X-ray hip joint abnormal	52A31	52A3100	168662003	261883016		41
309988017	Osteoarthritis NOS, of shoulder region	N05z1	N05z100	67315001	111849010		32
393818019	Total prosthetic replacement of knee joint using cement	7K30	7K30.00	265170009	393818019		32
800731000006117	Generalised osteoarthritis - OA	N050	N050.00	201819000	309860012		32
400186012	Osteoarthritis NOS, pelvic region/thigh	N05z5	N05z500	445478004	2871421010		32
443374015	Injection of steroid into knee joint	7K6Z7	7K6Z700	301877006	443374015		32
310011016	Osteoarthritis NOS, of shoulder	N05z9	N05z900	67315001	1232920019		32
251794010	H/O: rheumatoid arthritis	14G1	14G1.00	161567008	251794010		32
310020013	Osteoarthritis NOS, of hip	N05zJ	N05zJ00	239872002	359419019		32
359292012	Seronegative rheumatoid arthritis	N040P	N040P00	239792003	359292012		32
397840012	H/O: musculoskeletal disease	14G	14G..00	267004000	397840012		32
309816012	Flare of rheumatoid arthritis	N040T	N040T00	201791009	309816012		32
393823019	Other total prosthetic replacement of knee joint	7K32	7K32.00	19063003	32134012		32
451461014	Seropositive errosive rheumatoid arthritis	N047	N047.00	308143008	3517964017		32
251795011	H/O: osteoarthritis	14G2	14G2.00	161568003	251795011		32
293392012	Gouty arthropathy	C340	C340.00	190828008	293392012		32
149911000006117	Seropositive rheumatoid arthritis, unspecified	N04X	N04X.00	239791005	359291017		32
400197012	Arthropathy NOS, of the pelvic region and thigh	N06z5	N06z500	399269003	1778721018		32
400187015	Osteoarthritis NOS, of the lower leg	N05z6	N05z600	396275006	1776248011		32
309743013	Arthropathy in ulcerative colitis	N0310	N031000	201727001	309743013		32
261889017	Plain X-ray knee abnormal	52A71	52A7100	168668004	261889017		41
508047017	Osteoarthritis of spine	N11D	N11D.00	8847002	508047017		32
736781000006114	Localised osteoarthritis, unspecified, pelvic region/thigh	N0535	N053500	267891004	400178012		32
309789018	Rheumatoid arthritis of shoulder	N0402	N040200	201766009	309789018		32
359399017	Primary generalized osteoarthrosis	N0504	N050400	239862000	359394010		32
800751000006112	Generalised osteoarthritis of multiple sites	N0502	N050200	201819000	309854012		32
293412014	Gout NOS	C34z	C34z.00	90560007	150085018		32
400198019	Arthropathy NOS, of the lower leg	N06z6	N06z600	399269003	1778721018		32
400194017	Arthropathy NOS	N06zz	N06zz00	399269003	1778721018		32
168751000006115	Rheumatoid arthritis and other inflammatory polyarthropathy	N04	N04..00	69896004	116082011		32
219011000000115	Rheumatol. disorder monitoring	66H	66H..00	268524007	401536019		1
426510015	Rheumatoid arthritis - multiple joint	N040S	N040S00	287006005	426510015		32
400181019	Localised osteoarthritis, unspecified, of the lower leg	N0536	N053600	33952002	56680019		32
309877012	Erosive osteoarthrosis	N0506	N050600	201826000	309877012		32
162131000006111	Rheumatoid arthritis of PIP joint of finger	N0409	N040900	201773004	309796016		32
162111000006117	Rheumatoid arthritis of MCP joint	N0408	N040800	201772009	309795017		32
309788014	Other rheumatoid arthritis of spine	N0401	N040100	9631008	16840014		32
309787016	Rheumatoid arthritis of cervical spine	N0400	N040000	201764007	309787016		32
309794018	Rheumatoid arthritis of wrist	N0407	N040700	201771002	309794018		32
309798015	Rheumatoid arthritis of hip	N040B	N040B00	201775006	309798015		32
309800010	Rheumatoid arthritis of knee	N040D	N040D00	201777003	309800010		32
168761000006118	Rheumatoid arthritis of 1st MTP joint	N040K	N040K00	201783000	309807013		32
309802019	Rheumatoid arthritis of ankle	N040F	N040F00	201779000	309802019		32
312534011	[X]Seropositive rheumatoid arthritis, unspecified	Nyu1G	Nyu1G00	239791005	359291017		32
309792019	Rheumatoid arthritis of elbow	N0405	N040500	201769002	309792019		32
162041000006117	Rheumatoid arthritis of DIP joint of finger	N040A	N040A00	201774005	309797013		32
312520011	[X]Other specified rheumatoid arthritis	Nyu12	Nyu1200	69896004	116082011		32
309804018	Rheumatoid arthritis of talonavicular joint	N040H	N040H00	201781003	309804018		32
309805017	Rheumatoid arthritis of other tarsal joint	N040J	N040J00	429192004	2696026017		32
309803012	Rheumatoid arthritis of subtalar joint	N040G	N040G00	201780002	309803012		32
312518013	[X]Other seropositive rheumatoid arthritis	Nyu11	Nyu1100	239791005	359291017		32
46549014	Intra-articular injection	7K6ZK	7K6ZK00	27813003	46549014		32
162101000006115	Rheumatoid arthritis of lesser MTP joint	N040L	N040L00	201784006	309808015		32
162141000006118	Rheumatoid arthritis of sacro-iliac joint	N040C	N040C00	201776007	309799011		32
309791014	Rheumatoid arthritis of acromioclavicular joint	N0404	N040400	201768005	309791014		32
424981000006114	[X]Rheumatoid arthritis+involvement/other organs or systems	Nyu10	Nyu1000	239793008	359293019		32
162081000006111	Rheumatoid arthritis of IP joint of toe	N040M	N040M00	201785007	309809011		32
