MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
304323018	Urinary tract infection, site not specified NOS	K190z	K190z00	68566005	113884018		32
82701015	Dysuria	1A55	1A55.00	49650001	82701015		27
149513013	Transurethral prostatectomy	7B390	7B39000	90199006	149513013		32
11625011	Nocturia	1A13	1A13.00	139394000	221079019		27
2162415015	Irritable bladder	K16y4	K16y400	61033006	101427019		32
317515018	[D]Retention of urine	R082	R082.00	267064002	397937013		32
74781000006117	Urinary tract infection, site not specified	K190	K190.00	68566005	113884018		32
304205011	Recurrent cystitis	K155	K155.00	197853008	304205011		32
283665014	Referred to urologist	8H5B	8H5B.00	183552008	283665014		40
317520018	[D]Acute retention of urine	R0822	R082200	236648008	354719018		32
396738018	Benign prostatic hypertrophy	K20	K20..00	266569009	396738018		32
47612016	Polyuria	1AC2	1AC2.00	28442001	47612016		27
317506013	[D]Urinary system symptoms	R08	R08..00	249274008	3037485010		32
203421000006110	Prostatism	1AA	1AA..00	11441004	19794011		27
72601000006110	Unstable bladder	K1654	K165400	61033006	101427019		32
615711000006112	Detrusor instability	K1653	K165300	61033006	2164085015		32
217691000000114	Micturition frequency	1A1	1A1..00	300471006	1226833018		27
304353013	Frank haematuria	K1973	K197300	197941005	304353013		32
304319014	Recurrent urinary tract infection	K1903	K190300	197927001	304319014		32
801211000006112	Genitourinary system diseases	K	K....00	42030000	2474873012		32
397838019	H/O: urinary disease	14D	14D..00	267002001	397838019		32
282146013	Attention to urinary catheter	8156	8156.00	182524008	282146013		32
305276017	Genitourinary disease NOS	Kz	Kz...00	42030000	2474873012		32
304348015	Painful haematuria	K1971	K197100	197939009	304348015		32
644431000006118	Endoscopic resection of outlet of male bladder or prostate	7B39	7B39.00	265585007	394411012		32
403098017	Mechanical complication of urethral catheter	SP031	SP03100	269291000	403098017		32
251770010	H/O: urinary disease NOS	14DZ	14DZ.00	267002001	397838019		32
252783013	Micturition frequency NOS	1A1Z	1A1Z.00	300471006	1490597011		27
305152019	Other specified diseases of genitourinary system	Ky	Ky...00	42030000	70150015		32
113884018	Urinary tract infection	K1905	K190500	68566005	113884018		32
