"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","27","hazard_ratio","numeric","0.00407909458681457","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","27","lower_hr","numeric","0.00106110306351949","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","27","upper_hr","numeric","0.0156808638295618","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","27","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","27","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","27","se_coef","numeric","0.687036122298425","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","28","hazard_ratio","numeric","0.00362701061655875","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","28","lower_hr","numeric","0.000904552155669104","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","28","upper_hr","numeric","0.0145433360919901","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","28","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","28","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","28","se_coef","numeric","0.708545724166049","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","29","hazard_ratio","numeric","0.00336721144102105","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","29","lower_hr","numeric","0.00080969130173601","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","29","upper_hr","numeric","0.0140030069042778","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","29","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","29","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","29","se_coef","numeric","0.727149662146339","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","30","hazard_ratio","numeric","0.00325442468981984","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","30","lower_hr","numeric","0.000761476158967421","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","30","upper_hr","numeric","0.0139088794008613","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","30","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","30","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","30","se_coef","numeric","0.741091132297209","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","31","hazard_ratio","numeric","0.00326517231253275","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","31","lower_hr","numeric","0.000751648557611394","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","31","upper_hr","numeric","0.0141839562154025","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","31","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","31","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","31","se_coef","numeric","0.749400987189359","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","32","hazard_ratio","numeric","0.00339087508406449","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","32","lower_hr","numeric","0.00077716103039773","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","32","upper_hr","numeric","0.0147949181520913","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","32","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","32","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","32","se_coef","numeric","0.751644285482407","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","33","hazard_ratio","numeric","0.00363443619864095","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","33","lower_hr","numeric","0.000839370212411239","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","33","upper_hr","numeric","0.0157369493063688","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","33","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","33","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","33","se_coef","numeric","0.747747112933424","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","34","hazard_ratio","numeric","0.00400892235733106","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","34","lower_hr","numeric","0.000943934332885977","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","34","upper_hr","numeric","0.0170260344466676","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","34","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","34","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","34","se_coef","numeric","0.737881489489689","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","35","hazard_ratio","numeric","0.00453763275250164","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","35","lower_hr","numeric","0.00110136300505227","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","35","upper_hr","numeric","0.0186951176879219","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","35","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","35","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","35","se_coef","numeric","0.722389267772086","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","36","hazard_ratio","numeric","0.00525518381119496","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","36","lower_hr","numeric","0.00132822906839226","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","36","upper_hr","numeric","0.0207923147796141","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","36","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","36","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","36","se_coef","numeric","0.701731493777856","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","37","hazard_ratio","numeric","0.00620939248635116","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","37","lower_hr","numeric","0.00164911207527994","model_name","age_rcs4"
