source_concept_id,concept_code,cohort_name,concept_id,cohort_name_1,icd_description,points
45586665,J22,Unspecified acute lower respiratory infection,4307774,cohort_100,Unspecified acute lower respiratory infection,0.7
45586686,J96,"Respiratory failure, not elsewhere classified",4256228,cohort_83,"Respiratory failure, not elsewhere classified",1.5
45587093,M81,Osteoporosis without pathological fracture,80502,cohort_45,Osteoporosis without pathological fracture,1.4
45587237,N20,Calculus of kidney and ureter,4148260,cohort_8,Calculus of kidney and ureter,0.7
45587239,N28,"Other disorders of kidney and ureter, not elsewhere classified",40483287,cohort_55,"Other disorders of kidney and ureter, not
elsewhere classified",1.3
45587507,R33,Retention of urine,192450,cohort_84,Retention of urine,1.3
45587527,R79,Other abnormal findings of blood chemistry,436230,cohort_46,Other abnormal findings of blood chemistry,0.6
45591049,E55,Vitamin D deficiency,436070,cohort_108,Vitamin D deficiency,1
45591659,L97,"Ulcer of lower limb, not elsewhere classified",197304,cohort_98,"Ulcer of lower limb, not elsewhere classified",1.6
45592553,S09,Other and unspecified injuries of head,375415,cohort_48,Other and unspecified injuries of head,1.2
45592752,S32,Fracture of lumbar spine and pelvis,4013613,cohort_32,Fracture of lumbar spine and pelvis,1.4
45595474,Y95,Nosocomial condition,440005,cohort_41,Nosocomial condition,1.2
45595490,Z22,Carrier of infectious disease,4280828,cohort_10,Carrier of infectious disease,1.7
45595904,F32,Depressive episode,3656234,cohort_21,Depressive episode,0.5
45595935,G40,Epilepsy,380378,cohort_25,Epilepsy,1.5
45601235,L89,Decubitus ulcer and pressure area,37159532,cohort_16,Decubitus ulcer,1.7
45601352,M19,Other arthrosis,80180,cohort_49,Other arthrosis,1.5
45601718,N19,Unspecified kidney failure,192359,cohort_104,Unspecified renal failure,1.6
45605063,Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",442019,cohort_64,"Other medical procedures as the cause of
abnormal reaction of the patient",0.7
45605189,A09,Other gastroenteritis and colitis of infectious and unspecified origin,201618,cohort_60,"Diarrhoea and gastroenteritis of presumed
infectious origin",1.1
45606484,N17,Acute renal failure,197320,cohort_4,Acute renal failure,1.8
45606803,R32,Unspecified urinary incontinence,197672,cohort_105,Unspecified urinary incontinence,1.2
45607470,S51,Open wound of forearm,4053599,cohort_42,Open wound of forearm,0.5
45755311,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,4248801,cohort_90,"Streptococcus and staphylococcus as the
cause of diseases classified to other chapters",1.7
45755429,J69,Pneumonitis due to solids and liquids,4187218,cohort_77,Pneumonitis due to solids and liquids,1
45755630,R63,Symptoms and signs concerning food and fluid intake,4022569,cohort_93,"Symptoms and signs concerning food and
fluid intake",0.9
45755638,R44,Other symptoms and signs involving general sensations and perceptions,4024707,cohort_71,"Other symptoms and signs involving general
sensations and perceptions",1.6
45755639,R45,Symptoms and signs involving emotional state,4025215,cohort_94,"Symptoms and signs involving emotional
state",1.2
45755640,R47,"Speech disturbances, not elsewhere classified",435642,cohort_89,"Speech disturbances, not elsewhere classified",1
45755749,R94,Abnormal results of function studies,40484102,cohort_1,Abnormal results of function studies,1.4
45755806,S22,"Fracture of rib(s), sternum and thoracic spine",4279139,cohort_33,"Fracture of rib(s), sternum and thoracic spine",1.8
45756102,U80,Agent resistant to penicillin and related antibiotics,4249827,cohort_5,"Agent resistant to penicillin and related
antibiotics",0.8
45756243,W01,"Fall on same level from slipping, tripping and stumbling",437175,cohort_29,"Fall on same level from slipping, tripping and
stumbling",0.9
45756250,W10,Fall on and from stairs and steps,441749,cohort_28,Fall on and from stairs and steps,0.9
45756412,X59,Exposure to unspecified factor,4156363,cohort_26,Exposure to unspecified factor,1.5
45756483,Z87,Personal history of other diseases and conditions,1340204,cohort_74,"Personal history of other diseases and
conditions",1.5
45756557,Z99,"Dependence on enabling machines and devices, not elsewhere classified",437758,cohort_20,"Dependence on enabling machines and
devices",0.8
45537924,D64,Other anaemias,439777,cohort_47,Other anaemias,0.4
45537988,E83,Disorders of mineral metabolism,438721,cohort_22,Disorders of mineral metabolism,0.4
45539317,R11,Nausea and vomiting,27674,cohort_40,Nausea and vomiting,0.3
45562734,M48,Other spondylopathies,4157453,cohort_69,Spinal stenosis (secondary code only),0.5
45568138,R50,Fever of other and unknown origin,437663,cohort_30,Fever of unknown origin,0.1
45586724,K52,Other noninfective gastroenteritis and colitis,4297887,cohort_65,Other noninfective gastroenteritis and colitis,0.3
45596365,L08,Other local infections of skin and subcutaneous tissue,443600,cohort_63,"Other local infections of skin and
subcutaneous tissue",0.4
45596490,M15,Polyarthrosis,75897,cohort_78,Polyarthrosis,0.4
45557146,F00,Dementia in Alzheimer disease,378419,cohort_19,Dementia in Alzheimer's disease,7.1
45561994,F00,Dementia in Alzheimer disease,378419,cohort_19,Dementia in Alzheimer's disease,7.1
45755371,F00,Dementia in Alzheimer disease,4220313,cohort_19,Dementia in Alzheimer's disease,7.1
45591070,F00,Dementia in Alzheimer disease,4218017,cohort_19,Dementia in Alzheimer's disease,7.1
45591195,G81,Hemiplegia,372613,cohort_36,Hemiplegia,4.4
45591196,G81,Hemiplegia,375528,cohort_36,Hemiplegia,4.4
45562106,G81,Hemiplegia,374022,cohort_36,Hemiplegia,4.4
45552521,G30,Alzheimer disease,4220313,cohort_6,Alzheimer's disease,4
45605532,G30,Alzheimer disease,378419,cohort_6,Alzheimer's disease,4
45591165,G30,Alzheimer disease,378419,cohort_6,Alzheimer's disease,4
45566868,G30,Alzheimer disease,4218017,cohort_6,Alzheimer's disease,4
45533476,I69,Sequelae of cerebrovascular disease,4112026,cohort_87,Sequelae of cerebrovascular disease,3.7
45538414,I69,Sequelae of cerebrovascular disease,434056,cohort_87,Sequelae of cerebrovascular disease,3.7
45586606,I69,Sequelae of cerebrovascular disease,434056,cohort_87,Sequelae of cerebrovascular disease,3.7
45591490,I69,Sequelae of cerebrovascular disease,43530623,cohort_87,Sequelae of cerebrovascular disease,3.7
45543193,I69,Sequelae of cerebrovascular disease,4111720,cohort_87,Sequelae of cerebrovascular disease,3.7
45538404,I69,Sequelae of cerebrovascular disease,4111721,cohort_87,Sequelae of cerebrovascular disease,3.7
45544139,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,4066505,cohort_72,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6
45597177,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,441130,cohort_72,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6
45563297,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,380534,cohort_72,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6
45582699,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,439935,cohort_72,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6
45587505,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,441840,cohort_72,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6
45587504,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,4059015,cohort_72,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6
45606802,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,378256,cohort_72,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6
45548665,N39,Other disorders of urinary system,81902,cohort_57,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2
45606491,N39,Other disorders of urinary system,36712846,cohort_57,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2
45563014,N39,Other disorders of urinary system,75865,cohort_57,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2
45539046,N39,Other disorders of urinary system,193871,cohort_57,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2
45577525,N39,Other disorders of urinary system,197672,cohort_57,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2
45572709,N39,Other disorders of urinary system,74080,cohort_57,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2
45577526,N39,Other disorders of urinary system,75865,cohort_57,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2
45605447,F05,"Delirium, not induced by alcohol and other psychoactive substances",373995,cohort_18,"Delirium, not induced by alcohol and other
psychoactive substances",3.2
45557150,F05,"Delirium, not induced by alcohol and other psychoactive substances",37111242,cohort_18,"Delirium, not induced by alcohol and other
psychoactive substances",3.2
45571703,F05,"Delirium, not induced by alcohol and other psychoactive substances",373995,cohort_18,"Delirium, not induced by alcohol and other
psychoactive substances",3.2
45591078,F05,"Delirium, not induced by alcohol and other psychoactive substances",373995,cohort_18,"Delirium, not induced by alcohol and other
psychoactive substances",3.2
45544173,S00,Superficial injury of head,373648,cohort_91,Superficial injury of head,3.2
45548998,S00,Superficial injury of head,4167105,cohort_91,Superficial injury of head,3.2
45549004,S00,Superficial injury of head,4106678,cohort_91,Superficial injury of head,3.2
45553759,S00,Superficial injury of head,4219836,cohort_91,Superficial injury of head,3.2
45563349,S00,Superficial injury of head,4086195,cohort_91,Superficial injury of head,3.2
45577835,S00,Superficial injury of head,4108637,cohort_91,Superficial injury of head,3.2
45587557,S00,Superficial injury of head,4086195,cohort_91,Superficial injury of head,3.2
45563348,S00,Superficial injury of head,4050699,cohort_91,Superficial injury of head,3.2
45582750,S00,Superficial injury of head,4002661,cohort_91,Superficial injury of head,3.2
45561775,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,436339,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45590871,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,432545,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45537782,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,4008261,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45547477,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,40478938,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45556957,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,441215,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45576291,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,433405,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45590870,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,434277,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45542577,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,4231983,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45566566,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,440320,cohort_68,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45558469,R41,Other symptoms and signs involving cognitive functions and awareness,4268911,cohort_70,Other symptoms and signs involving cognitive functions and awareness,2.7
45534452,R41,Other symptoms and signs involving cognitive functions and awareness,4293175,cohort_70,Other symptoms and signs involving cognitive functions and awareness,2.7
45553735,R41,Other symptoms and signs involving cognitive functions and awareness,4198081,cohort_70,Other symptoms and signs involving cognitive functions and awareness,2.7
45606812,R41,Other symptoms and signs involving cognitive functions and awareness,4229448,cohort_70,Other symptoms and signs involving cognitive functions and awareness,2.7
45539342,R41,Other symptoms and signs involving cognitive functions and awareness,439147,cohort_70,Other symptoms and signs involving cognitive functions and awareness,2.7
45602016,R26,Abnormalities of gait and mobility,36714126,cohort_2,Abnormalities of gait and mobility,2.6
45563296,R26,Abnormalities of gait and mobility,4248196,cohort_2,Abnormalities of gait and mobility,2.6
45582698,R26,Abnormalities of gait and mobility,4021489,cohort_2,Abnormalities of gait and mobility,2.6
45534437,R26,Abnormalities of gait and mobility,4096848,cohort_2,Abnormalities of gait and mobility,2.6
45597174,R26,Abnormalities of gait and mobility,437643,cohort_2,Abnormalities of gait and mobility,2.6
45543191,I67,Other cerebrovascular diseases,381591,cohort_51,Other cerebrovascular diseases,2.6
45572103,I67,Other cerebrovascular diseases,314667,cohort_51,Other cerebrovascular diseases,2.6
1529212,S42,Fracture of shoulder and upper arm,73609,cohort_34,Fracture of shoulder and upper arm,2.3
1529319,S06,Intracranial injury,4001336,cohort_38,Intracranial injury,2.4
1529320,S06,Intracranial injury,4001336,cohort_38,Intracranial injury,2.4
1529320,S06,Intracranial injury,4243161,cohort_38,Intracranial injury,2.4
1529327,S42,Fracture of shoulder and upper arm,4237458,cohort_34,Fracture of shoulder and upper arm,2.3
42617202,M25,"Other joint disorders, not elsewhere classified",76784,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617203,M25,"Other joint disorders, not elsewhere classified",75345,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617204,M25,"Other joint disorders, not elsewhere classified",78833,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617205,M25,"Other joint disorders, not elsewhere classified",441940,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617206,M25,"Other joint disorders, not elsewhere classified",79915,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617207,M25,"Other joint disorders, not elsewhere classified",77640,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617208,M25,"Other joint disorders, not elsewhere classified",75043,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617209,M25,"Other joint disorders, not elsewhere classified",72403,cohort_62,"Other joint disorders, not elsewhere classified",2.3
